0.00 20.00 None  B8-2-res No, B8-2-res.
2617.00 2624.00 SPEAKER_06  P let me hear you say, uh, and the guy goes, this ain't no motherfucking P hangs up the phone.
2624.00 2626.00 SPEAKER_06  It's from the song, uh, make him say, uh, the beginning of it.
2626.00 2630.00 SPEAKER_06  And, um, these guys did a version of that, of like, yo, this is height.
2630.00 2631.00 SPEAKER_06  Yo records.
2631.00 2633.00 SPEAKER_06  Like Santa Claus, like Santa Claus, like Santa Claus.
2633.00 2636.00 SPEAKER_06  Let me see you say, ho, ho, ho, ho, ho, ho, ho, ho.
2636.00 2637.00 SPEAKER_06  This ain't no Santa Claus.
2637.00 2640.00 SPEAKER_06  It's just like y'all haven't signed anyone.
2640.00 2641.00 SPEAKER_06  You're not a record label.
2641.00 2643.00 SPEAKER_06  You're just a bunch of white kids in Carmel, Indiana.
2643.00 2644.00 SPEAKER_06  What the fuck?
2644.00 2648.00 SPEAKER_09  And it's like, so to me, now, you know, you should have bought so much.
2648.00 2649.00 SPEAKER_09  I would've sold all of it.
2649.00 2651.00 SPEAKER_06  Sell it through the trash food store.
2651.00 2652.00 SPEAKER_06  Fucking resurrect tight.
2652.00 2653.00 SPEAKER_06  Yo records.
2653.00 2665.00 SPEAKER_06  Those guys all work at like fucking, I don't know, like McKenzie now or something, or like, I don't know, like they, they, they, they, they, they, they're part of the real estate place that fucking, we've been thinking about doing Brinology merch.
2665.00 2667.00 SPEAKER_08  And I think this is the Brinology merch.
2667.00 2669.00 SPEAKER_04  Oh God.
2669.00 2672.00 SPEAKER_08  The tight yo records hoodie.
2672.00 2674.00 SPEAKER_08  Oh man.
2674.00 2676.00 SPEAKER_08  Boy mate, you master P.
2676.00 2679.00 SPEAKER_08  Boy mate, can you say ah.
2679.00 2680.00 SPEAKER_06  Yeah.
2680.00 2682.00 SPEAKER_06  It's just a whole, it's a whole different.
2682.00 2686.00 SPEAKER_06  I mean, like no limit in general is such a, such a nineties vibe for so many people.
2686.00 2688.00 SPEAKER_06  I can say, ugh.
2688.00 2689.00 SPEAKER_06  David Padilla.
2689.00 2690.00 SPEAKER_06  Mm-hmm.
2690.00 2691.00 SPEAKER_06  I'm signed to tight row records.
2691.00 2693.00 SPEAKER_06  Yeah, man.
2693.00 2712.00 SPEAKER_06  I mean, so bringing this up, I guess I, what I'm saying is that like, we have this character, this stock character, but because it manifests so differently, like I think that Ali G, especially at the time when there was less, there was no social media, there was less exchange and stuff like this on the internet.
2712.00 2713.00 SPEAKER_06  It would have been unscannable.
2713.00 2723.00 SPEAKER_06  But like the fact that to us, but the fact that like Prince Harry was teaching the Queen Mother to say booyakasha, like that tells me the degree of like ubiquity.
2723.00 2724.00 SPEAKER_06  Oh yeah.
2724.00 2725.00 SPEAKER_06  Of this show.
2725.00 2731.00 SPEAKER_06  And so I guess to me, the thing that I'm wondering is like looking back on it, do you think he- I never fucking forgot.
2731.00 2732.00 SPEAKER_06  I never fucking forgot.
2732.00 2734.00 SPEAKER_06  At fucking Balmoral as well.
2734.00 2735.00 SPEAKER_06  Yeah.
2735.00 2736.00 SPEAKER_06  Incredible.
2736.00 2738.00 SPEAKER_06  Do you think, do you think looking back on it that like it goes too far?
2738.00 2741.00 SPEAKER_06  Or do you think like it's, or like, it's not really like, it doesn't hold up?
2741.00 2743.00 SPEAKER_06  Or do you think it- It's hard to say.
2743.00 2749.00 SPEAKER_09  I mean, it like, I don't think it's one of those things where you look back on it and you're like, oh fuck, this is bad.
2749.00 2753.00 SPEAKER_09  It's more one of those things where you look back on it and you're like, this would be done differently now.
2753.00 2757.00 SPEAKER_09  Like it's sort of like, there's enough in it I think that's like pretty funny.
2757.00 2764.00 SPEAKER_09  And there's something to be, I think there's, you know, like getting one over on someone like Jacob Rees-Mogg is always pretty funny.
2764.00 2765.00 SPEAKER_09  Sure, yeah.
2765.00 2775.00 SPEAKER_09  That and that kind of thing of like, there's enough good in it that it holds up in the sense of like, you know, there's something you can take from it as a cultural product of its time.
2775.00 2781.00 SPEAKER_09  But it's not, yeah, it's not something where like, yeah, you could do this, you could do this shot for shot today and it would be great.
2781.00 2797.00 SPEAKER_09  Like in the way that I do think that almost about Brass Eye or the day to day, like they're so close to being like, timeless in terms of like, the kind of shit that they're satirizing is exactly the same today or almost exactly the same, if not worse.
2797.00 2801.00 SPEAKER_09  And like, the jokes are actually very carefully thought through.
2801.00 2806.00 SPEAKER_09  Like when we talked about the Peter Geddon episode, it's like, it's running stuff close to the line.
2806.00 2811.00 SPEAKER_09  But also it's, it's really directed satire at stuff that is bad.
2811.00 2812.00 SPEAKER_09  Yeah.
2812.00 2814.00 SPEAKER_09  And you can have a taste debate about it.
2814.00 2818.00 SPEAKER_09  But actually the, the, in terms of the target of the satire, it's pretty bang on.
2818.00 2822.00 SPEAKER_09  It's not like looking at stuff from the two thousands where it's like, what if a man was gay?
2822.00 2823.00 SPEAKER_09  Yeah, exactly.
2823.00 2826.00 SPEAKER_06  I do think that it's interesting.
2826.00 2836.00 SPEAKER_06  I, I, I feel as though the concept of all of it is kind of getting over on the participant that they don't, they don't realize that it's fake.
2836.00 2837.00 SPEAKER_06  Yeah.
2837.00 2838.00 SPEAKER_06  Obviously that's still a thing.
2838.00 2841.00 SPEAKER_06  I mean, you see TikToks about it, you see things like this all the time.
2841.00 2842.00 SPEAKER_06  Yeah.
2842.00 2850.00 SPEAKER_06  If someone to achieve that level of popularity, it would be very difficult for them to maintain the joke now.
2850.00 2851.00 SPEAKER_06  Yeah.
2851.00 2856.00 SPEAKER_09  And so in that regard, if you see the difference where like, we'd like the Posh and Becks interview, like they're obviously in on it.
2856.00 2868.00 SPEAKER_09  Um, and what, what's so funny about that interview is the way that like, it just really exposes how Victoria Beckham is very much the brains in that relationship because like, she is kind of like roasting Ali G back and there's like a bit back and forth.
2868.00 2873.00 SPEAKER_09  And then whenever he asked David Beckham question, he's like, yeah, I guess so.
2873.00 2874.00 SPEAKER_09  Yeah.
2874.00 2879.00 SPEAKER_03  Now Beckham, do you reckon the better the footballer you is, the fitter the girl you go out with?
2881.00 2882.00 SPEAKER_08  Obviously.
2882.00 2887.00 SPEAKER_03  So you is the best at foot, you know, so you get posh.
2887.00 2891.00 SPEAKER_03  So does Sporty Spice go out with someone from Scum Football United?
2893.00 2894.00 SPEAKER_00  That's horrible.
2894.00 2895.00 SPEAKER_00  What do you mean?
2895.00 2897.00 SPEAKER_00  That's my friend and she's lovely.
2897.00 2898.00 SPEAKER_00  Exactly.
2898.00 2900.00 SPEAKER_03  Why is he trying to say Scum Football is not a good thing?
2900.00 2901.00 SPEAKER_03  Yes.
2901.00 2904.00 SPEAKER_03  That is an horrible thing to say about it.
2906.00 2914.00 SPEAKER_06  I do think though that in a way, taking, that's my favorite thing of all the ones that I watch, maybe because like, I just don't like intense, awkward stuff.
2914.00 2918.00 SPEAKER_06  So that's why I never really made it through more than one episode of Curb Your Enthusiasm.
2918.00 2921.00 SPEAKER_06  Like, it's just not a thing I enjoy.
2921.00 2923.00 SPEAKER_06  And, you know, but...
2923.00 2926.00 SPEAKER_09  Well, because it's like, you can tell that like, they like each other.
2926.00 2927.00 SPEAKER_09  Yeah.
2927.00 2930.00 SPEAKER_09  Like the off camera, they were having a laugh and like, it's not like, you know.
2930.00 2951.00 SPEAKER_06  But I think that to me, it also kind of reveals Sacha Baron Cohen's ability as a comedian, specifically because like, it's not just the person kind of like the interview subject moderating their internal discomfort or confusion with sort of like, you know, you think about a politician, an actor, whomever.
2951.00 2956.00 SPEAKER_06  Like, they've probably had lots of interviews with people who seemed fucking insane or just completely stupid.
2956.00 2957.00 SPEAKER_06  Yeah, yeah.
2957.00 2958.00 SPEAKER_06  And that's just part of your day.
2958.00 2961.00 SPEAKER_06  But there's going to be alarm bells going off when it's this ridiculous.
2961.00 2973.00 SPEAKER_06  I think when you take that away and it's just like, you know, them reacting and pushing back and then him having to come up with jokes that sort of like maintain the character, like faking out as though he's being, you know what I mean?
2973.00 2976.00 SPEAKER_06  Like, you can see that he's just good at it.
2976.00 2979.00 SPEAKER_06  And there's also some built in jokes that were kind of funny like him.
2979.00 2981.00 SPEAKER_06  I can't remember what it was exactly.
2981.00 2984.00 SPEAKER_06  The back of his coat just says Africa and it has Italy on it.
2984.00 2988.00 SPEAKER_09  Like, I'm sorry, those kinds of jokes always make me laugh.
2988.00 2989.00 SPEAKER_09  Yeah, where to cop?
2989.00 2992.00 SPEAKER_09  That's going to be that's going to be the back of the fucking tight.
2992.00 2993.00 SPEAKER_06  You know, record sweater.
2993.00 2994.00 SPEAKER_06  I'll be honest with you.
2994.00 2996.00 SPEAKER_06  One of the funniest examples of this.
2996.00 3002.00 SPEAKER_06  I've and it's it's it's impossible to find online because SEO will just defeat you.
3002.00 3007.00 SPEAKER_06  There's just no way you can get a search engine to understand what it is you're looking for.
3007.00 3009.00 SPEAKER_06  You'd have to design it yourself.
3009.00 3011.00 SPEAKER_06  And maybe this guy did that.
3011.00 3012.00 SPEAKER_06  I don't know.
3012.00 3018.00 SPEAKER_06  Or maybe it was like the best, you know, AliExpress dot com find in human history.
3018.00 3019.00 SPEAKER_06  Yeah.
3019.00 3022.00 SPEAKER_06  But I saw a guy walking down the street.
3022.00 3028.00 SPEAKER_06  I want to say here in Hackney, but it might have been an Aldgate when we were in our old place.
3028.00 3032.00 SPEAKER_06  And he had a jacket that had a kind of like black puffy coat.
3032.00 3050.00 SPEAKER_06  And on the back had almost like airbrushed magical style artwork of like the Arc de Triomphe and Baselique Sacre Kerr and Eiffel Tower and like the, you know, like the River Seine and all of these famous Parisian landmarks drawn.
3050.00 3059.00 SPEAKER_06  Like I said, in kind of like a like a airbrushed art shirt that you buy on holiday, you know, we'd buy in Florida style and in big letters on the bottom said London.
3059.00 3064.00 SPEAKER_06  I was like, that's fucking badass.
3064.00 3067.00 SPEAKER_06  That's so God, I wear it a cop.
3067.00 3068.00 SPEAKER_09  Yeah, yeah, yeah.
3068.00 3069.00 SPEAKER_06  That is it.
3069.00 3072.00 SPEAKER_06  Try to find a jacket that says London with tons of Parisian shit on it online.
3072.00 3075.00 SPEAKER_06  Like, I'm sorry, but the Google can't handle it.
3075.00 3078.00 SPEAKER_09  I see the Britainology merch should be like that.
3078.00 3080.00 SPEAKER_09  But it's like actual stuff from London.
3080.00 3085.00 SPEAKER_09  But it's like an Excel bully, you know, like some vomit outside a chip shop.
3085.00 3088.00 SPEAKER_06  Yeah, I was going to say luxury flats.
3088.00 3089.00 SPEAKER_06  Yeah.
3089.00 3098.00 SPEAKER_06  A sky pool over luxury flats, like a huge punch up between like, you know, a huge punch up in a kebab shop at two in the morning.
3098.00 3100.00 SPEAKER_06  And underneath it, it says Paris.
3100.00 3103.00 SPEAKER_09  Yeah, yeah, yeah.
3103.00 3107.00 SPEAKER_09  I'm really, I'm going to be thinking about the tight Yo Records merch.
3107.00 3108.00 SPEAKER_09  What did it look like?
3108.00 3119.00 SPEAKER_06  I mean, if I remember correctly, it was just like kind of drawn in a, in a not, not like illegible graffiti style, but in that kind of like, like, like graffiti print style.
3119.00 3121.00 SPEAKER_06  Like, you know, the brand Stussy.
3121.00 3122.00 SPEAKER_06  Yeah, yeah, yeah.
3122.00 3124.00 SPEAKER_06  Like that, like, it looked kind of like.
3124.00 3126.00 SPEAKER_06  I was going to get the German way Stussy.
3126.00 3127.00 SPEAKER_06  Stussy.
3127.00 3128.00 SPEAKER_06  Stussy.
3128.00 3130.00 SPEAKER_06  Like, like, like, like, it was like Stussy or Stussy.
3130.00 3131.00 SPEAKER_06  I don't know.
3131.00 3132.00 SPEAKER_06  I never remember.
3132.00 3133.00 SPEAKER_06  Stussy.
3133.00 3134.00 SPEAKER_05  You have my Stussy.
3134.00 3135.00 SPEAKER_05  Yeah, yeah, yeah.
3135.00 3136.00 SPEAKER_05  You have my Stussy.
3136.00 3137.00 SPEAKER_05  Yeah, yeah, yeah.
3137.00 3138.00 SPEAKER_05  Wer will sein Stussy poppen?
3138.00 3140.00 SPEAKER_05  I have the Stussy poppen.
3140.00 3141.00 SPEAKER_05  Yeah.
3141.00 3142.00 SPEAKER_05  This is a real Stussy poppen.
3142.00 3150.08 SPEAKER_05  yeah this is a real Stussy Poperei you have my Stussy on the floor anyway
3150.08 3176.06 SPEAKER_06  like Stussy that style of handwriting I just said tight yo it was like tight yo with an exclamation point and then records underneath it but I mean I'm drawing on seeing it walking in the hallway like during what we call a passing period like when you walk between classes in like 2000 like this is a long time ago but in my mind's eye that's basically what it looked like but like I said like they weren't a record label in anything but name
3176.06 3191.40 SPEAKER_09  this is fucking tears in rain shit right like it's like you know the only record of the tight yo records merch that we have is your like fallible memory from like 23 years ago that's all we can go you know this is how like society is lost
3191.40 3228.56 SPEAKER_06  I mean similarly the kids who were probably only 15 or 16 but just seemed older because we were you know me and my friend were both 14 and our voices hadn't changed yet complaining about not having been allowed to get into getting into uh into the the South Park movie in like August 1999 the story I've told you of course numerous times and I've always wondered if people take it the wrong way when they hear it because without the context of it someone asked me once to be like what's anti-Semitism in the Midwest like and I'm like the best way to describe it is that it's ambient in a way but with people who don't necessarily know any Jewish people
3228.56 3232.94 SPEAKER_09  yeah there's not enough Jewish people around for it to take on a directed there are places
3232.94 3263.80 SPEAKER_06  that are famously like they're like bigger concentrations of Jewish people in bigger cities but Indianapolis is not really one of them and there was two kids who had been refused entry because they were checking IDs to see the South Park movie and you had to be 17 who couldn't get in one was wearing like a bandana and a shirt that said got weed in the got milk style and all I heard was him he's like man that's fucking Jewish and every time I tell him Milo's eyes light up when he hears this like Midwest ephemera it's so funny
3263.80 3270.54 SPEAKER_09  because it's that kind of thing where it's like it's so it's so disconnected from any kind of actual racial animus
3270.54 3307.94 SPEAKER_06  I remember a kid in class one time because we had my first French teacher my French one teacher was a Jewish American woman and in a very kind of like late middle age kind of like you could tell that if the class got too rowdy she would probably like not be able to get control of the class again but she's just been doing it so long she kind of knew how to shape it and there was a kid who was maybe two years older he was like a junior when we were freshmen who was like big time just stoner and she was having some conversation he's like does anybody know what language they speak in Israel and he's like Jewish and she like got mad at him and like was gonna write him up because she thought he was like making a joke and he just was like fucking stupid and didn't know
3307.94 3313.02 SPEAKER_08  like I'm telling you man yeah that's what it was like
3313.02 3327.72 SPEAKER_09  it's a good question yeah I mean I guess Indianapolis is what the Sopranos would call Elvis country yeah maybe that's one of my favorite bits in the whole show where he's like yeah take it down to fucking Elvis country and then he's like what's Elvis country he's like place where there are no Jews blacks or Italians
3327.72 3389.36 SPEAKER_06  yeah sounds about well I mean I guess looking back to bring it back into the into the the the sort of thematic point here it's funny that Sacha Baron Cohen gave a commencement speech at Harvard as Ali G that's not really out of character for Harvard I remember that one time they had Kermit the Frog do it yeah and I remember a quote in some coverage of this where someone's like I kind of I kind of feel like you bust your ass for four years at the school you deserve more than getting talked to by a fucking sock I don't necessarily think it went over well I imagine a lot of people in the audience and their parents were very confused like why does this guy talk this way but that to me is pretty is pretty standard stuff looking back I gotta be real with you it's more annoying than funny to me but I also know that I'm not the target audience for it in the sense that like this is a specifically British thing well you're also 20 years too late to be the target audience for that's true but I would have been target audience in Britain in 1999 or 2001 or 100% 100%
3389.36 3395.24 SPEAKER_09  yeah you'd have had to have gotten your you know your uncle Dave to smuggle you into the cinema to see Allergy in the
3395.24 3418.80 SPEAKER_06  house yeah I probably British me would be a really I don't know what that mean I would like have discovered I could get an American passport and emigrate to America and do it oh I fucking love guns and roses doing a podcast called like America ology where yeah yeah the exact thing where American Milo is explaining America to me have you ever heard of Twinkies
3418.80 3424.48 SPEAKER_09  okay listen up buddy I'm American Andrew Tate
3424.48 3429.02 SPEAKER_08  or just Andrew Tate yeah he's like
3429.02 3437.14 SPEAKER_09  Andrew Tate is still like British Andrew Tate is like it's like you you know like American Andrew Tate is like what if what if Andrew Tate was raised in America you know
3437.14 3440.86 SPEAKER_06  I had a I had a I think I've told the story on the show before that my in middle school
3440.86 3442.90 SPEAKER_09  like you've never seen the fucking Brady Bunch that
3442.90 3465.48 SPEAKER_06  there was a kid in my middle school who his family moved over I know I've told the story before that I had a British classmate his dad was the fucking Taibo instructor like Billy Blake's Taibo like the video not fight not actual martial arts but rather just like it's like it's like it's like Kung Fu jazzercise but his dad I realized now because they were from Coventry and his dad like taught the
3465.48 3472.42 SPEAKER_09  class because Taibo is so American like why is a British guy a Taibo like that kind of that's that's the kind of thing where it's like it's too nice but his dad
3472.42 3486.78 SPEAKER_06  had like gelled hair and an earring and had like like like tracksuit joggers when he was teaching the class to like my eighth grade gym class and I realized now like we encountered like Coventry guy but I just wasn't prepared for it and that to me is kind of like encountering Ali G as an American with no context all right
3486.78 3488.76 SPEAKER_07  listen up kids you can learn about Taibo
3488.76 3491.88 SPEAKER_06  I didn't realize
3491.88 3494.90 SPEAKER_07  I moved to Carville Indiana to teach Taibo
3494.90 3498.10 SPEAKER_06  is Coventry accent that that close to the Birmingham general
3498.10 3508.40 SPEAKER_09  I mean people are going to yell at me but it's it's it's Coventry is near Birmingham it's got a I guess it's like it's Coventry in the black country don't write it
3508.40 3510.18 SPEAKER_06  don't fucking ask me no I'm not I'm
3510.18 3521.14 SPEAKER_09  asking I'm asking the ether but yeah Coventry is yeah it's the West Midlands yeah it's going to be the accent's going to be somewhere in that neck of the woods all right all right well I was going a bit Ringo Starr there but yeah I feel like
3521.14 3529.36 SPEAKER_06  I just was asking you because I figured that you've probably been like defrauded by a shitty comedy promoter in Coventry at some point in your career you know weirdly I've never done a gig in
3529.36 3555.10 SPEAKER_09  Coventry really and I've been to a lot of shit towns in this country what I love sometimes is you meet someone from a shit town who doesn't work in the comedy industry but it's like a small enough shit town that you know some cunt comedy promoter in that town and you bring it up and they're like that fucking cunt like yes he transcends the business and it's always a man and like you know that guy and you hate him too but just from like down the pub which is so much better
3555.10 3595.80 SPEAKER_06  yeah yeah man well you know what it's it's it I don't know how to round this out other than saying that it's a fragment of a different time I don't know if it was better I mean there's a lot of things culturally socially that seemed like it was worse back then but it is it is weird to me that I'm trying to think of like breakthrough crossover stuff like characters films etc that are British that have that kind of purchase in America or even like any warrant any kind of mention and I don't know like it's it's prestige TV it's some music stuff it's certain actors you know things along those lines but yeah yeah I guess I
3595.80 3597.98 SPEAKER_09  guess the office kind of but it was translated
3597.98 3608.38 SPEAKER_06  yeah we had to make our own version of it you know it's like it's like a soy version only fools and horses you know the Serbians couldn't just dub it they needed to invent Serbian man and van yeah yeah yeah I mean which is awesome
3608.38 3621.40 SPEAKER_09  it's it's so funny that they like in in retrospect the American office that they managed to make a more annoying version of a product that was made by Ricky Gervais yeah it goes to show how far Ricky Gervais I think the
3621.40 3669.30 SPEAKER_06  thing at the end of the day it's just that some of the humor doesn't translate and I guess I'll leave it on once again because I'm really playing the hits today and referencing some of these stories I'll end it on the thing about British humor and American humor is the best summation of this that I've ever seen was the episode of King of the Hill where Peggy tells Bobby that he's gonna they're gonna watch this show and it's it's it's British humor and he might not find the jokes funny because British humor is more sophisticated than ours and Bobby just goes why is that man wearing a dress yeah I mean could anything be a more obvious rip on Monty Python look I'm just saying that some things I think when you look at the office like the show might have been popular in like a cult way but if you remade it for an American audience it would be like I'll be
3669.30 3676.62 SPEAKER_09  saying the same thing that an Ottoman soldier once said in about 1943 yeah yeah the
3676.62 3702.04 SPEAKER_06  weirdly the I can only imagine you know what yeah good of a place as any to leave it thank you for being a premium subscriber premium hogs we love you let me hear you say that ain't no motherfucking hog look forward to us whatever permutation of tight yo records merchandise we come up with because I just yeah sometimes I just mind the mind mind my memories for some strange stuff that I encountered as a yeah the
3702.04 3707.54 SPEAKER_09  British version of tight yo records is such a powerful thought yeah all I can say is I
3707.54 3724.40 SPEAKER_06  remember there was a community paper thing where they had done a story about like a teen couple that like had gotten the girl had gotten pregnant they'd gotten married and there were some comments about it and like someone wrote a letter to the editor that was like his boys in their gang called the Swayze crew and they said they were going to basically retaliate implied beat up the people who had said mean things in this story about them and like
3724.40 3728.82 SPEAKER_08  the Swayze crew and so I'm just saying like what Ali G
3728.82 3734.94 SPEAKER_06  was making fun of in Britain we have a version it just looks different that's all
3734.94 3737.10 SPEAKER_05  the Swayze crew listen as a
3737.10 3751.56 SPEAKER_06  Swayze crew we were retaliate and you know what that's where we can leave it so we run this roadhouse exactly it's just yeah we hang out we hang out and fucking Bob Evans and make a lot of noise and don't leave a good tip that's that's how you be a bad boy yeah anyway please come to my tour dates
3751.56 3796.74 SPEAKER_09  fucking end of this month in Rotterdam Amsterdam is sold out February 11th special taping in London please come to that there's a there's a rehearsal for the special taping also on February the 7th if you can't make that which would be very helpful I do need people to come to that so I can make sure that I know all of the words that is cheaper if that appeals to you March the 3rd in Brighton we need to sell some tickets to that because I forgot to promote it early enough Australia I'm doing Brisbane Melbourne Sydney Newcastle Canberra Adelaide and Perth please come in the relevant city that would be great it's my tour show sentimental it got five star views at the fringe come along great to see you I will link
3796.74 3807.44 SPEAKER_06  Milo's site in the show notes since this is a obviously this is a bonus episode but we'll put that there so yeah if you're in a position to go see Milo buy some tickets go see him do it you will have all the information there if you're lazy you can
3807.44 3810.88 SPEAKER_09  Google Milo Edwards city name and it's almost certainly going
3810.88 3820.16 SPEAKER_06  to work I will I will link all of the the the segments of Ali G that we watched in preparation for this in the show notes as well if you want to post comments post your thoughts on this what do you
3820.16 3830.06 SPEAKER_09  think yeah we didn't talk much about the movie Ali G in the house B8 too rare's bitch on a pension suck my dong etc etc god damn it yeah I'm kind of glad
3830.06 3857.24 SPEAKER_06  we didn't because I would have had to watch the movie and I think I would have come like just like bleary-eyed and furious be like Milo why did you do this to me please give please cut a perfect edit of Nate saying bitch I would have come I'm gonna put that on the sound board I don't think I actually said that but you know if you can make it sound like that then use it to your heart's content I grant you all the privilege in the world for that but until next time thank you for being a premium subscriber and we'll speak to you soon catch you later
3857.24 3863.92 SPEAKER_00  bitch on a pension suck my dong what shall I turn the engine on yeah
3863.92 3889.92 None  yeah yeah yeah yeah yeah yeah yeah yeah yeah
