0.00 29.58 SPEAKER_05  Hello and welcome to Punta Vista
3558.54 3561.00 SPEAKER_06  Buy some melatonin From iherb.com
3561.00 3561.86 SPEAKER_02  Holy shit Like $30
3561.86 3563.62 SPEAKER_06  Fuck
3563.62 3567.22 SPEAKER_02  Use the offer code Bunter 10 Bunter iherb
3567.22 3568.06 SPEAKER_06  Melatonin
3568.06 3588.20 SPEAKER_02  I'm so These fucking People From the interiors Category Fake food Not new 2025 It's going to be big though We're talking rocks Soft serve Swirls There's dog toys Hamburger area rugs And popcorn vases Yes please
3588.20 3594.82 SPEAKER_06  I hate this I hate this If I see a pillow That's shaped like a fucking Like a Hamburger
3594.82 3596.02 SPEAKER_02  I'm so mad
3596.02 3597.72 SPEAKER_06  I'm seeing like red mist
3597.72 3625.48 SPEAKER_02  Pancake pillow That has a little butter pillow Attached to it I'm not going to fuck you anymore Or be fucked by you Or suck you or be sucked by you Which was my plan You go to his house I don't do on premise I have to Because of the arrangement Embrace treat culture And propose decorative items And gifting ideas That tap into the feel good Stress relief power Of bringing up a smile What are you saying I'll kill you
3625.48 3630.46 SPEAKER_06  I'll fucking kill you I'll kill you You got a burrito wrap blanket I'll kill you I feel like
3630.46 3641.68 SPEAKER_09  You are dead Everyone Everyone talks about 1984 No one talks about Brave New World anymore Right Where the whole population Is just like In this drugged up Sexual bliss The whole time
3641.68 3645.36 SPEAKER_06  It's about a utopia So that they don't Change
3645.36 3651.22 SPEAKER_09  What's going on And it's stupid And it's trite To talk about Brave New World In 2025
3651.22 3654.12 SPEAKER_02  You sound like a dumbass When you do But yeah It sounds super stupid
3654.12 3657.52 SPEAKER_09  But also Anyway
3657.52 3670.00 SPEAKER_03  Yeah But Theo I kind of feel like This is This is part of Of the feeling Currently Is like Not to be The most depressing Podcast in the world On our first one Oh it's fine
3670.00 3671.68 SPEAKER_09  We started this way We could go out there
3671.68 3686.04 SPEAKER_03  But I'm just saying Like this is This is why I just currently Am in this space Where I'm like I just I just want to Disconnect from a lot Of stuff And just Have time With myself And read Read books And listen to my records And make food Just me
3686.04 3688.24 SPEAKER_09  And my family And talk to my friends
3688.24 3698.04 SPEAKER_03  And my family And all those things Because it just It just feels like It feels It makes you feel stupid To even say this stuff Yes
3698.04 3701.04 SPEAKER_09  It makes you feel so stupid To just kind of go
3701.04 3706.96 SPEAKER_03  Like it's all so obvious And we've all been saying it For years And nothing's happening
3706.96 3711.60 SPEAKER_09  Hey You guys notice We live in the terror nexus Shut the fuck up Shut up
3711.60 3735.72 SPEAKER_02  You sound like an idiot No Yeah I've seen lots of posts On Facebook about it By the stupidest people alive The more realistic The more surrealist The effect Across Trompley eel Candles Tabletop Stationery Toys Furniture And room decor Among others Oh they're trompleyels You get some trompleyels In your house
3735.72 3737.94 SPEAKER_06  Trompley What's that
3737.94 3747.12 SPEAKER_02  Trompley eel Isn't that like a Trompley eel Trompley eel Isn't it like an illusion Trompley Isn't that like a Don't know Or a mass
3747.12 3748.94 SPEAKER_09  I'm allusion my patience
3748.94 3760.14 SPEAKER_02  A trompley eel Is an artistic term For the highly realistic Optical illusion Of three dimensional Space and objects On a two dimensional surface
3760.14 3763.40 SPEAKER_06  So you mean a candle That looks like a cupcake Or like a rug
3763.40 3768.62 SPEAKER_02  That looks like a burger But it's 3D Whoa That burger has depth
3768.62 3771.82 SPEAKER_09  3D burger rug What a time to be alive Yeah
3771.82 3794.34 SPEAKER_02  Oh I've got the hamburger phone From Juno Boy am I cool Have fun And encourage your customers To have fun as well No matter how small the treat Or how cheekily The indulgence is portrayed Play with textures Detailing and embellishment Delve into nostalgia Elevate your product With premium materials And finishes Or exaggerate your kidult appeal
3794.34 3794.88 SPEAKER_01  Ah
3794.88 3796.08 SPEAKER_02  There is something
3796.08 3798.16 SPEAKER_00  For every palate Don't say that And the appetite
3798.16 3811.42 SPEAKER_02  Is only growing This one at least Is somewhat innocuous Compared to the rest The rest is just like Every minute of your day Should be accounted for With some sort of expenditure That's true And this one's like Banana phone
3811.42 3818.86 SPEAKER_03  And we're going Yeah we're going straight back To the hamburger telephone From the 80s Being too harsh on this one
3818.86 3819.72 SPEAKER_06  That's fine That's harmless
3819.72 3831.88 SPEAKER_02  Yeah have a burger phone If you want It's actually kind of A cool throwback To have a landline That's dope The consumer tech category The top trend is AI companionship
3831.88 3834.02 SPEAKER_06  Nah No it isn't
3834.02 3846.54 SPEAKER_02  No No it isn't No it is It will be No AI girlfriends Replica Check out the episode You're making Brian exist For a little A little look into the world Of AI companionship
3846.54 3850.40 SPEAKER_03  You know what I love More than anything else Is treating The symptom
3850.40 3857.80 SPEAKER_02  Yes Yes Well because the cause Is so big and nebulous So big and hard Symptoms right there When I look at that I'm like
3857.80 3862.72 SPEAKER_03  Oh no But when I look at the symptom I'm like You know what I got a bandaid That fits right over that
3862.72 3868.24 SPEAKER_09  Yeah Out of sight of my mind Turns out I've got A soothing salve And it's The rest of my money That I have
3868.24 3872.52 SPEAKER_03  After rent and food I've got a painkiller That temporarily makes this Not a problem anymore
3872.52 3874.44 SPEAKER_02  I've got CBD oil In my pants
3874.44 3877.22 SPEAKER_03  I've got a saturated pussy
3877.22 3888.70 SPEAKER_02  Oh man This Oh god Christ Social isolation and loneliness Are on the rise worldwide And the World Health Organization Has declared loneliness A global health threat Have they?
3889.70 3897.02 SPEAKER_02  The advocacy for social connectedness Coincides with the rapid advancement Of AI technologies Embodied in humanoid and social robots No
3897.02 3899.16 SPEAKER_09  It doesn't exist There are no
3899.16 3912.48 SPEAKER_02  Hey here's like the worst Possible thing to imagine That like human life Is becoming so atomised That it's a miserable Lonely experience What if your phone Like Did sex chat with you That solved the problem?
3913.64 3915.70 SPEAKER_03  What if you had a cyber girlfriend?
3916.70 3922.62 SPEAKER_02  Think of them as smart assistants Caregivers or digital companions I'm not thinking of them like that I'm not going to do that
3922.62 3923.20 SPEAKER_09  You can't make me
3923.20 3950.32 SPEAKER_02  These novel human machine interactions Will escalate in 2025 With AI engaging more deeply With humans To provide emotional support Alleviate loneliness And redefine our relationship With technology Get Fucked Fuck off Don't do that Don't Stop trying to make it a thing It's not Trying to make it a thing It's going to make people crazy The people that it will resonate with Will become more insane Than they've ever been before
3950.32 3957.24 SPEAKER_09  Yeah And they will also They will Kill themselves Remember As we've seen before They will just
3957.24 3960.84 SPEAKER_02  This will just cause people A little feedback loop Where it's like Yeah go on
3960.84 3969.70 SPEAKER_03  Do it Remember in the last 12 months When that kid killed himself Because his AI girlfriend told him to Yeah Yeah And the movie Her
3969.70 3973.94 SPEAKER_06  Is set in 2025 Just confirming that Just Yeah
3973.94 3978.70 SPEAKER_09  Does it have anything In the article there About high-waisted Pants
3978.70 3982.86 SPEAKER_02  Coming back Beltless Thick fabric trousers Yeah And also collars
3982.86 3988.42 SPEAKER_06  Being on the inside Zoomers in like Adam Sandler jorts Yeah Kevin Smith jorts
3988.42 4007.36 SPEAKER_09  I don't think we've ever seen Such a big disconnect Between Like Things that people want And the amount That It has been pushed By Companies And content mills And What have you As we've seen With With AI Yeah
4007.36 4009.54 SPEAKER_06  Yeah It's like No you want this You love this
4009.54 4024.14 SPEAKER_09  You want this Hey this is going to be a trend In 2025 Don't you know it's going to be a trend We're going to make this We're going to make this happen AI is going to be big In 2025 Just grok it Just grok it Just grok it Just grok it Hey Can you grok that for me real quick Oh It just called me The F slur
4024.14 4045.94 SPEAKER_02  Have you guys like ever Sort of caught in the wild A moment where like Maybe an old school friend You have on Facebook Goes Just discovered the AI app I made a picture of Kermit the frog In Mad Max And then there's 50 comments of people With cry laugh emojis Being like What Holy shit That's the best thing I've ever seen
4045.94 4081.98 SPEAKER_09  See This is where My delusions Start to kick in I go None of these people Exist anymore They've been replaced Dead internet theory Dead internet They've all been replaced By robots They don't exist anymore They died Yeah In the incident Their physical body Is being probably Kept in a vault somewhere You know Being harvested for heat And now Their online presence Has been replaced By robots Yeah They've got a digital twin That's probably it Yeah Probably what's going on It couldn't be the other Thing where everybody Has lost their minds Yeah Where like
4081.98 4085.54 SPEAKER_02  The sort of The parlor tricks Of a stupid machine Have bedazzled them
4085.54 4090.20 SPEAKER_03  When I turn this handle It looks like The horse is running
4090.20 4098.34 SPEAKER_02  This is in the Colour of the year Category Future dusk
4098.34 4105.78 SPEAKER_09  Future dusk Future dusk I mean it does sound It does Kind of sound like A colour I'd enjoy
4105.78 4111.44 SPEAKER_02  Like the moment Before the night Yeah That everlasting night Are you just looking
4111.44 4112.36 SPEAKER_09  Up what dusk is
4112.36 4119.02 SPEAKER_02  I was thinking A metaphorical night Like the end Of civilisation The going out Of the lights Of everything That we've built
4119.02 4122.02 SPEAKER_03  Twilight of the world
4122.02 4153.76 SPEAKER_02  Future dusk Is the colour For this era Of transition Moody and intriguing Yet steadfast And constant Into a dark age Yeah It offers a sense Of mystery And escapism But also A reassuring stability A fresh take On dependable Dark blue It feels both It feels both Familiar and futuristic Earthy and cosmic Its surreal And otherworldly Qualities align With the long term Trend towards Transformative colours Driven by the Consumer desire For emotionally Driven experiences Whether digital Or IRL So I should be wearing
4153.76 4160.32 SPEAKER_09  Sort of a dark Dark blue Future dusk Pyjamas As the light Of our civilisation Goes out
4160.32 4161.36 SPEAKER_06  With collagen Yeah
4161.36 4163.78 SPEAKER_09  With collagen Infused And CBD oils
4163.78 4170.20 SPEAKER_02  AI powered CBD Future dusk Dayjama jorts Yeah As this era
4170.20 4173.74 SPEAKER_09  Draws to An end Whimpers Yeah
4173.74 4179.92 SPEAKER_03  With a soaked In CBD So with a Sewn in CBD Infused butt plug Yeah
4179.92 4195.98 SPEAKER_09  If you made If you made A graph Of the number Of times A day I think Of the ending Of pie Where the guy Just drills The chip Out of his brain It's going up Going up Going up It's up New trends In 2025 Thinking about Putting a drill In my brain
4195.98 4220.44 SPEAKER_02  I've got two more Here That we We're done No I'm having a Great time In the sports And outdoor Category Soft adventure Soft adventure Is an activity That doesn't Require a Significant Investment In equipment Or much Skill to Start Such as Hiking Camping Cycling Bird watching Or snowshoeing Okay Yeah Go on Snowshoeing Go on Snowshoeing I'm on the
4220.44 4221.98 SPEAKER_09  Snowshoe bullshit In 2025
4221.98 4256.66 SPEAKER_02  It has driven Growth in Outdoor participation Since the pandemic Providing accessible Activities for new Participants to keep The health and Wellness benefits Of the outdoors Yeah I mean the Pandemic's still Going Soft adventure's Growth is influenced By global demographic Fluctuation The cost of living Crisis and a wide Range of multi Living situations And communities Demand for age Agnostic soft Adventure products And services Designed for need Rather than Participants age Is rising So you know We've got like A cost of living Crisis I do yeah Yeah snowshoeing
4256.66 4257.90 SPEAKER_06  Have you tried Birdwatching
4257.90 4265.32 SPEAKER_02  Have you tried Birdwatching That is free So many of my Friends getting into Birdwatching over the Last couple of years I think they might have Nailed this one Yeah
4265.32 4267.60 SPEAKER_05  Or it's just because We get older Maybe
4267.60 4276.08 SPEAKER_09  Yeah if you start now You'll build your Skills at birdwatching As birds get harder And harder to locate In the wild Yeah
4276.08 4286.80 SPEAKER_03  That's true As there are fewer And fewer of the Saw some buff banded Rails For the first time Yesterday I bet you fucking did Get this They're really cute
4286.80 4298.30 SPEAKER_02  Oh that's nice Finally from the Insight category The forever young adult I don't like where That's going Is that about us
4298.30 4301.86 SPEAKER_03  Is this anything to do With enhancing my Kidult
4301.86 4317.98 SPEAKER_02  Appeal Yeah Global youth are Redefining life's Timeline The perma crisis Has left many youths To delay adulthood And live at home Well into their 30s I don't like the Casual The perma crisis I don't like the Casual acknowledgement Of that What do you mean
4317.98 4319.26 SPEAKER_09  I mean I know what
4319.26 4345.20 SPEAKER_02  You mean But we're not at the Level where we say it Now In this trends article Like just This isn't a fucking William Gibson novel Oh back in the Permacrisis You all know the Permacrisis right Yeah That's a In his latest Trilogy of books He was describing The perma crisis But he called it The jackpot Because kind of Everything went off At once The perma crisis That's That's fucking We do live in the Permacrisis We do
4345.20 4349.28 SPEAKER_09  But you don't have to Say it in this article About what candle to buy Yeah
4349.28 4395.28 SPEAKER_02  Fuck Banana phones But Permacrisis Banana phone The perma crisis Has left many youths To delay adulthood And live at home Well into their 30s In the west Youth stretches Well into the 30s While in India and Africa Booming young populations Driving a cultural Youthquake That will shape Global trends for years For adults who are Adulting There is a resurgence Of cultural nostalgia From Dungeons and Dragons Groups returning To people buying toys And merch from their childhood I think we could argue That Dungeons and Dragons Groups never went away Timeless Always been happening Yeah Brands must rethink How they connect With the young at heart Across all industries How can you manipulate The perma crisis To get these like Emotionally stunted Millennials Yeah Get your brands off
4395.28 4399.56 SPEAKER_06  Brands Sonic the Hedgehog Biker Mice from Mars
4399.56 4402.32 SPEAKER_03  What new Funko Pops Will be released this year
4402.32 4415.70 SPEAKER_02  Throwback packaging On chips Holy shit Is this the 90s Packaging of Lay's chips I gotta get these That would sell Like fucking crazy That would work on me Immediately Yeah You do a throwback Can of something And I'm buying it
4415.70 4416.94 SPEAKER_06  I'm buying that
4416.94 4425.48 SPEAKER_03  You brought Powers back Powers beer I'm buying that I'd like to see the Doritos 80s packaging Come back I like that shit That was good
4425.48 4427.46 SPEAKER_06  Tarzos I want Tarzos
4427.46 4428.08 SPEAKER_03  Tarzos Yeah
4428.08 4431.90 SPEAKER_02  I guess what Your home loan Comes with some Tarzos Sign me up
4431.90 4433.28 SPEAKER_09  Slipping Tarzos While the world burns
4433.28 4505.78 SPEAKER_03  Look To reinforce something That I feel like Ben has said In various forms You know You don't have to Live like this No You can look You can look for your Moments of human Connection out there In the world People don't want To live like this They want to see Each other And be seen They want to make Eye contact They want to have Nice moments Speak for yourself Twice in the last Some of them Twice in the last week Some of them moved To Tasmania To be further away From large groups Of populations Like yeah Like twice in the last week You know I went to the To the surf beach With my kids And as we were Walking down there I was walking past Like there was A young family Standing there And this guy Had like a toddler On his shoulders And his wife Had a I assume wife Had a baby Like in a carrier And she was also Trying to wrangle a dog And this guy's trying To take a photo Of all of them At the same time Get them all in the frame And I was trotted over there And said Can I take this photo For you And they went Oh Thank you Yeah And stole their phone Immediately Immediately I was like He's got a baby On his shoulders She's got a baby And a dog They're never
4505.78 4506.30 SPEAKER_02  Going to catch me
4506.30 4508.24 SPEAKER_03  Life's little joys iPhone 13 pro
4508.24 4511.76 SPEAKER_04  And I took a photo For them And they said Thanks
4511.76 4556.80 SPEAKER_03  And as we were Walking down the beach My younger daughter Was like Oh why'd you do that And I said Because I could just I could see in that moment That they probably Would have appreciated A bit of help Sometimes in life You know You kind of wish You had another set of hands Yeah And you could just be there You know And then And then A day or two ago I think Yeah Yesterday I went to the coast And picked up my kids Who had been staying With my parents For a bit During the school holidays And the same thing happened We were walking back From dinner past the jetty And there was like A group of women All sitting on this bench Posing for a photo While one of the party Was standing up And just sort of I could see it Awkwardly trying To get like Seven people Into one photo And I thought Isn't that nice That's happened again And I trotted over And said
4556.80 4558.46 SPEAKER_04  Can I take that photo For you And they said
4558.46 4569.18 SPEAKER_03  Oh yes And like You know If you're looking around In the world And you just see somebody How many phones Can one person have I'm going to find out You know
4569.18 4578.22 SPEAKER_09  Yeah But what if Instead of all of that Andrew We had a gritty reboot Of Milo and Otis Full penetration What if I was wearing
4578.22 4603.14 SPEAKER_03  CBD infused jorts Instead You know Sitting at home Talking to my AI assistant All I'm saying is You know Go outside Open your eyes Look around Go outside Every now and then Fuck You know You might You might see somebody else Who just looks like They could use a hand You might see somebody else Who looks like They could use A moment of human connection And guess what It makes you feel Really fucking good to do You know It costs you nothing
4603.14 4611.02 SPEAKER_02  I was at the bar Yesterday afternoon In a personal capacity And I was playing Yahtzee with my friends And these two people That I'd never seen I work on your day off
4611.02 4611.34 SPEAKER_03  Got it
4611.34 4684.00 SPEAKER_02  Doesn't sound very healthy But okay Every day of my life Yep These two people That I'd never seen before Were sitting at the table Next to us And they'd just been like Sitting there drinking And chatting for ages And then as they were About to leave They asked one of the Bartenders who was working About the coasters That we have That are a list Of conversational prompts It's just like a list Of 20 questions Of like weird shit That I put in there To you know There's something dumb To put on a coaster And the person Who was working Put it Put it to me And was like Oh he made them And they were just like Oh We just didn't say That was really fun We went through the whole list And we had a really nice time And I was like Oh that's great What's your favourite Kind of medieval weaponry Because that's one of the questions And the dude was like Morningstar It's funny that you say that The dude was like Well for me It's you know It's a short sword It's a bit basic But you know It gets the job done I was like Yep absolutely And then his partner Was like Oh To me it's the mace And I was like Yeah fuck yeah A mace That's cool as fuck And then that was it We had a nice little exchange It's a dope pick Like within 20 seconds Of meeting these strangers I found out What their favourite kind Of medieval weapons were And then we parted ways It was beautiful It's a communal experience You don't get that inside You don't get that From your fucking replica Nope Go and have some months
4684.00 4691.60 SPEAKER_06  You could build a model Of the HMS terror And that will bring you A similar amount of joy Not everything has to be outside
4691.60 4696.72 SPEAKER_03  That's true On this podcast You will always be able To get a stern defence Of staying indoors Yeah
4696.72 4704.10 SPEAKER_02  I mean hey You were given that Model of the terror By your partner Who I believe you met On the internet actually So no that's Yep
4704.10 4705.20 SPEAKER_06  All came from
4705.20 4707.02 SPEAKER_02  In the circle Didn't need to leave the house
4707.02 4709.98 SPEAKER_06  For any of that Everything good to me Happens in the home
4709.98 4750.66 SPEAKER_02  Point and counterpoint Hey that was Definitely an episode Of the podcast Buonta Vista Thank you so much For coming back For 2025 We We missed it Which is crazy We're sending each other Little messages Being like hey I'm excited to podcast I can't wait to podcast Isn't that crazy That's so weird Yeah I've got it out Of my system now though Yeah Yeah now I'm like Fuck it's a drag There's my whole Fucking Sunday gone No it's so nice To be back Thank you so much And if this was Your first episode It is kind of Mostly like this Pretty representative I think Yeah Let's despair Sometimes Only occasionally Sometimes Yeah the despair Fluctuates As it does For all of us
4750.66 4762.48 SPEAKER_03  I think if you want To exist in the real world You've got to acknowledge Some of the things That are going on But let's Let's keep looking For the light You know Let's keep looking For a bit of love In the world You know Yes
4762.48 4766.34 SPEAKER_02  Yeah Stay positive 2025 Be the change
4766.34 4771.94 SPEAKER_03  You want to see Do something Yeah Do it These fucking people That are writing All this PR shit
4771.94 4774.32 SPEAKER_09  If you've been thinking About doing something There's never been A better time
4774.32 4775.70 SPEAKER_05  Yeah It's a good idea
4775.70 4784.92 SPEAKER_02  To do something Yeah If someone did like A copycat thing Of that Like but to Elon Musk I mean imagine how People would love you
4784.92 4786.26 SPEAKER_08  People would love you
4786.26 4828.04 SPEAKER_02  We will see you either Next week On the next free episode Or You could sign up For our bonus episodes That's like Seven bucks a month There's 350 episodes In the back catalogue 370 375 We released a bunch Of super good Bonus episodes Last year I had a really hard time Whittling down Which two I was going To make free over Christmas And I would Strongly recommend If you haven't signed up And you like what we do Sign up to the Patreon Get a bunch more of those And keep CBD creaming Your jeans I guess Yeah Get that wellness Right into your pussy Keep creaming in the In the free world Yeah Stay safe out there
4828.04 4831.22 SPEAKER_05  Bye Bye Bye
4831.22 4833.22 SPEAKER_03  Bye
