0.00 18.90 SPEAKER_02  Hello everyone and welcome to this, the first free episode of 2024.
2933.68 2942.76 SPEAKER_01  Whereas, you know, when you see like, and I mean, I live in Manchester, various like kind of working class communities trying to oppose various developments that they think are going to be disruptive to the area.
2943.14 2944.42 SPEAKER_01  Obviously, they just get ignored, right?
2944.48 2945.44 SPEAKER_01  Most of it's by and large.
2946.18 2947.16 SPEAKER_01  So it...
2947.86 2952.30 SPEAKER_01  And then we've got ourselves in this position where the former people are kind of foregrounded as a problem.
2952.68 2956.48 SPEAKER_01  And there's the kind of main problem and main issue that needs to be sort of bypassed, I guess, within planning.
2956.78 2966.30 SPEAKER_01  Whereas actually, what's simultaneously happening, and indeed, perhaps the reason that certain like think tanks use that kind of language is because actually a lot of the time developers are getting their way.
2966.60 2967.14 SPEAKER_01  And they are.
2968.76 2972.40 SPEAKER_01  Certainly in like big cities like Manchester or London, like they certainly are getting their way.
2972.52 2980.38 SPEAKER_01  And they certainly are producing things, whether it's like you say, shutting down nightclubs, which I appreciate it's not always developers, but it can be led by sort of new developments.
2981.00 2982.76 SPEAKER_01  And then people move in and then they want the nightclub shut.
2983.64 2986.88 SPEAKER_01  Like, yeah, that process, I think, is an outgrowth of...
2986.88 3004.98 SPEAKER_01  Whereas at least, I think you can say at least very much intensified by the weakness of like planners, both in their kind of quasi-judicial role, but also in like the actual process of making a plan and actually doing the hard and complicated work of like working with different people in the community, right, which does take time and it takes money.
3005.48 3013.24 SPEAKER_01  And if you don't have that, then you're already starting from a very difficult position if you're like at least more progressive in your sort of aims for a city or for a region or whatever.
3013.24 3024.02 SPEAKER_02  Yeah. So I'd like to talk as well about like what you described mostly in the paper is what an actually functional planning system would look like, right?
3024.14 3026.24 SPEAKER_02  Because you talk about...
3027.44 3036.86 SPEAKER_02  I think I like talking about this because I like to understand what a plan that is actually worthwhile would look like.
3036.86 3052.10 SPEAKER_02  And some of the points that you hit are to actually revitalize and reprofessionalize planning as a public sector activity, which to me speaks to a lot of kind of minimum requirements for any solution to the hollowing out of the UK public sector.
3052.38 3064.88 SPEAKER_02  Whether you're talking about teaching, whether you're talking about like the rail industry, like anything that we frequently talk about in all senses, we've decided to stop hiring and stop paying people enough.
3064.88 3066.62 SPEAKER_02  And so people aren't working in it.
3067.36 3074.28 SPEAKER_02  And to be able to act as a public sector body, you need to have people and you need to have people who are qualified.
3074.58 3094.58 SPEAKER_02  Like I'm also put in mind of when we talked to yet another Gareth, Gareth Davies about the goings on in Thurrock Council, where, you know, some basically people from the town had to sort of engage in asset management, working against like sharks from the city in Mayfair, right?
3094.58 3105.56 SPEAKER_02  You're not going to be able to have a local government that say, invests in the market that doesn't constantly get taken advantage of unless they're hiring those sharks.
3105.94 3107.44 SPEAKER_02  And I think it's the same thing with planning.
3107.58 3121.46 SPEAKER_02  We need to hire more, more qualified, not to put too fine a point on it, sharks who are able to actually significantly check developer ambitions.
3122.26 3122.42 SPEAKER_01  Yeah.
3122.88 3123.50 SPEAKER_01  Yeah, absolutely.
3123.64 3133.88 SPEAKER_01  I think like, not to get too much into this, but like, you know, I've obviously I've worked in planning, a few different planning schools, universities and like, you know, the universities are training people as planners, right?
3133.94 3136.28 SPEAKER_01  There's like plenty of people still being trained.
3136.36 3138.88 SPEAKER_01  It's still, you know, a fairly popular degree for young people to do.
3139.02 3141.64 SPEAKER_01  So, and it's like a professional qualification in most cases.
3141.64 3145.12 SPEAKER_01  So there are people being trained as professional planners, but then most of them go and work.
3145.12 3153.34 SPEAKER_01  And like, and I think, I think a lot of them are being trained with it, with a kind of public sector ethos because most of the people training them were people who worked in the public sector years ago, usually.
3154.46 3161.14 SPEAKER_01  So, you know, in terms of like younger people that is happening, but then often then what they do is they go and work in a consultancy, right?
3161.84 3167.58 SPEAKER_01  And, you know, there are some consultancies that do better work than others, but like that, that, you know, is a very different ethos.
3167.66 3168.80 SPEAKER_01  It's a very different way of thinking.
3169.34 3180.98 SPEAKER_01  And yeah, there's actually not always, it can be quite, and if you're not like, you know, it's necessarily about the highest performer, for example, it can actually be a really unstable career, like in terms of contracts and, you know, moving from one place to the other and that kind of thing.
3181.76 3182.86 SPEAKER_01  So, yeah.
3182.94 3202.70 SPEAKER_01  And I think that for me is what opens up this, as I sort of touched on before, is that it's, you know, it's both lacking the capacity to actually do the, so as a consequence, the public sector lacks the kind of capacity to engage in the more complicated work of not just like, you know, signing off developments, but maybe like designing a, an area or locality that's like well connected.
3202.94 3207.04 SPEAKER_01  Or has like good community infrastructure or has like GPs and all these kinds of things, right?
3207.10 3218.78 SPEAKER_01  Like, you know, it has that kind of, those kinds of things can be factored in, which increasingly doesn't, you know, it's harder to do in terms of making a plan, the spatial kind of, you know, both in this sort of sense of mapping out where things go.
3218.92 3225.90 SPEAKER_01  I know it sounds very simplistic, but like just be able to do that properly as well as, you know, policies and, you know, what you want to prioritize in an area and things like this.
3225.98 3226.14 SPEAKER_01  Right.
3226.52 3235.30 SPEAKER_02  As opposed to just being like, Oh, well, we hired the three best people at cities skylines, and we're hoping that they'll be able to create a functional community here.
3235.60 3235.82 SPEAKER_05  Yeah.
3235.92 3236.04 SPEAKER_05  Yeah.
3236.18 3246.90 SPEAKER_02  We, we also, we talk about revitalizing planning as a profession and making a public sector that can be adversarial and be challenging as well as actually just get stuff done.
3246.90 3247.42 SPEAKER_02  Yeah.
3247.42 3252.64 SPEAKER_02  We're also talking as well about, you talk a great deal about democratizing planning.
3252.82 3255.46 SPEAKER_02  That means ensuring gains from planning equally distributed.
3256.12 3263.52 SPEAKER_02  And that right now the planning profession, shock horror, serves largely to serve the interests of the extremely rich.
3263.90 3274.58 SPEAKER_02  So I'd like to just sort of take a step back and ask, how exactly does the planning system right now sort of just consistently give returns to the people who are already very wealthy?
3274.58 3280.06 SPEAKER_02  And what would a more democratic distribution of gains from planning actually look like?
3282.32 3282.72 SPEAKER_01  Yeah.
3282.84 3297.56 SPEAKER_01  Well, I would say that like the, you know, the gains, and I guess it's really an important point to mention when talking about planning any, a lot of the time is that like what the planning system is and can do even, you know, both ideally and in its current like, you know, form.
3298.32 3305.98 SPEAKER_01  And it's, it's often attributed to be able to do things that it can't do, or it's often like given too much priority and reasons things aren't working.
3305.98 3306.24 SPEAKER_01  Right.
3306.28 3309.24 SPEAKER_01  So for example, like why the UK isn't building so much infrastructure?
3309.76 3312.40 SPEAKER_01  Well, it's because the government gave up on public investment for 10 years.
3312.42 3314.94 SPEAKER_01  That's why, that's why we don't have good electricity infrastructure.
3315.04 3317.02 SPEAKER_01  That's why we don't have good train infrastructure, et cetera, et cetera.
3317.02 3318.82 SPEAKER_01  Like, like that's the core reason.
3319.12 3323.96 SPEAKER_01  And like, um, planning is then used as an excuse for why those things haven't happened.
3324.06 3324.24 SPEAKER_01  Right.
3324.24 3337.22 SPEAKER_01  So I think it's important just, just to firstly kind of like, and I would say the same in, in terms of like wealth and in terms of gains of, um, you know, people being able to make money off land, basically, you know, that the reasons for that happening are much more external to planning.
3337.32 3341.64 SPEAKER_01  It's obviously to do with the financial crisis, quantitative easing, all these kinds of background economic conditions, right.
3341.68 3343.74 SPEAKER_01  That are driving land prices up.
3344.20 3348.50 SPEAKER_01  Um, particularly, and obviously like, you know, speculation from, um, and planning is part of this.
3348.54 3357.70 SPEAKER_01  I'm not trying to say planners aren't part of this, particularly in terms of signing off, like off plan, um, uh, buy to rent, like huge apartment blocks and things like this.
3357.76 3357.88 SPEAKER_01  Right.
3357.88 3359.16 SPEAKER_01  Like obviously planning is part of that.
3359.70 3361.12 SPEAKER_01  Um, but that's the sort of driving thing.
3361.20 3364.76 SPEAKER_01  What planning can do though, even within this kind of, uh, limited context.
3364.76 3371.52 SPEAKER_01  And I guess we could try to say planning and local government more widely is through, yeah, trying to capture some of the gains that are being made.
3371.52 3371.78 SPEAKER_01  Right.
3371.80 3390.32 SPEAKER_01  And presently that happens through what's called, which a lot of people probably have heard of in planning, if they've heard of anything, which is called section 106, which is, uh, usually a negotiated, um, agreement between a developer and a local authority to either provide sometimes money, but often it's like, uh, social housing, right.
3390.36 3394.66 SPEAKER_01  Or affordable housing, or even sometimes it could be like a park or something like that.
3394.72 3403.44 SPEAKER_01  It's an agreement that the developer will pay for, or even do, um, even produce one of these things in order to offset the kind of impacts of their development.
3403.68 3413.04 SPEAKER_01  Now the problem with that system, you know, in some cases it can work, but in, uh, a lot of the time, obviously it can be negotiated down or it can be offered.
3413.54 3423.82 SPEAKER_01  Um, and from what I understand, uh, you know, there's, I think there was, maybe it was a BBC documentary, but, uh, there's this cans like property festival councils turn up there.
3423.82 3425.96 SPEAKER_01  They try and get international investors to come to the city.
3426.52 3428.64 SPEAKER_01  Like this happens every couple of years, I think.
3428.84 3432.28 SPEAKER_01  And, you know, one of the things that you can say is like, you know, I was kind of off the record.
3432.54 3433.02 SPEAKER_01  Oh yeah.
3433.04 3436.12 SPEAKER_01  Well, you know, maybe the section 106 won't be as bad or something like this.
3436.20 3439.26 SPEAKER_01  And, you know, this is probably also a function of cities competing with each other as well, right.
3439.26 3440.96 SPEAKER_01  To try and attract like global investment.
3441.84 3444.18 SPEAKER_01  So it's kind of flexible, right.
3444.24 3453.02 SPEAKER_01  And the government of, and then they, so the government introduced 10, 15 years ago, community infrastructure levy, which is supposed to be a bit more rigid, uh, which councils can set out.
3453.02 3458.12 SPEAKER_01  Uh, and now they've introduced another levy or the framework for another levy recently in the recent legislation.
3458.38 3461.08 SPEAKER_01  So they seem to be trying to make that a bit more solid.
3461.20 3472.46 SPEAKER_01  And that seems to be, I mean, I guess I saw moving the right direction, but it still seems that like this money is either often just going in, maybe just going into, sometimes if it's money in terms of levies, just going into councils because they need the money anyway.
3472.46 3474.44 SPEAKER_01  So it's not necessarily just going to things that's needed,
3474.72 3481.54 SPEAKER_02  but it's kind of a stealth tax, which is fine, but it doesn't do the thing it's supposed to do.
3481.54 3487.84 SPEAKER_02  And so it gives, I think it gives central government a way to say, Hey, we're doing all of this stuff.
3487.92 3493.82 SPEAKER_02  And then local governments frequently have to like, not deliver the thing in order just to deliver other things in a minimum level.
3493.94 3494.08 SPEAKER_01  Yeah.
3494.20 3495.44 SPEAKER_01  Well, it was designed at a time.
3495.98 3498.94 SPEAKER_01  Well, yeah, I mean the first, the sexual assaults comes from 1990.
3499.46 3505.22 SPEAKER_01  So it was designed at a time when it's not exactly like local governments were amazingly funded then, but they were a lot better funded than they are now.
3505.22 3505.44 SPEAKER_01  Right.
3505.44 3508.96 SPEAKER_01  It was based on an idea that we hadn't completely destroyed local government, I assume.
3509.18 3523.76 SPEAKER_01  So, so now when you've got, you know, sexual assaults additional to like full local government funding, maybe, maybe that's, you know, not a disaster, but if you, and you know, these community levies as well, but when you've taken so much money out, putting this money in doesn't make a huge difference, I don't think.
3524.24 3529.34 SPEAKER_01  So yeah, what we call for our paper was a more like, and this would even work for developers as well.
3529.42 3529.56 SPEAKER_01  Right.
3529.56 3538.12 SPEAKER_01  It's not some necessarily some radical sort of position that's used in other countries as to, you know, we didn't go into all the specifics because there's like a few different versions that it would have taken up too much time to debate them all.
3538.92 3552.74 SPEAKER_01  Have either land value tax or land, a more clear kind of percentage land value capture system for, for like any sort of development or at least any development over a certain scale or value where you sort of say, right, you know, this is how much you get as a landowner.
3552.74 3552.78 SPEAKER_01  Yeah.
3552.86 3561.68 SPEAKER_01  And what we're talking about particularly is what's called planning game, which is where the value that you get from land is turning from what it was before into, you know, when it gets permission, it usually makes land more valuable.
3561.82 3561.98 SPEAKER_01  Right.
3562.04 3563.94 SPEAKER_01  So it's how you capture some of that gain.
3564.04 3568.40 SPEAKER_01  Some of it can get developers fine, but actually we need to have a much clearer sense of how much of that goes to the public.
3568.62 3570.38 SPEAKER_01  And that makes them more redistributive effective.
3570.38 3581.22 SPEAKER_02  And we're not being Georgists here, crucially, because we're talking specifically about land value taxes to offset problems created by high land values.
3581.52 3582.00 SPEAKER_01  Yeah, exactly.
3582.16 3582.28 SPEAKER_01  Yeah.
3582.36 3582.54 SPEAKER_01  Yeah.
3582.54 3586.22 SPEAKER_01  It's capturing that rising land value for the public because it's not great.
3586.34 3588.88 SPEAKER_01  You know, people aren't creating that wealth by doing anything like that.
3589.00 3589.98 SPEAKER_01  They're just getting it by accident.
3590.46 3594.96 SPEAKER_02  And this, and we're saying that planning is just one way we could possibly do that.
3595.50 3595.72 SPEAKER_01  Yeah.
3595.84 3596.00 SPEAKER_01  Yeah.
3596.00 3599.70 SPEAKER_01  I mean, through, through plan value capture specifically is something you could do through planning land values.
3599.78 3605.32 SPEAKER_01  We talk within the paper about property, like reforming council tax and property tax, which is obviously a local government thing.
3605.32 3610.80 SPEAKER_01  So, yeah, I mean, that for, you know, that's a kind of wider kind of issue, I think, to do with it.
3610.86 3613.54 SPEAKER_01  And again, this comes back to planning and it's kind of political space, right?
3613.58 3619.54 SPEAKER_01  Like, obviously, and this is why we took target the paper towards labor, because obviously the conservatives is never going to do any of this.
3619.76 3629.14 SPEAKER_01  And the people, and the people, and the people, and the people, and the people, we're going to do it either, but like, you know, like obviously any of these kind of planning reforms would fit within, only make sense within a wider shift in local government.
3629.56 3633.00 SPEAKER_01  And, you know, an actual, you've got to want to redistribute wealth basically.
3633.44 3635.20 SPEAKER_01  And obviously at the moment we don't, but we do.
3636.70 3637.54 SPEAKER_02  I'll say this.
3638.02 3644.38 SPEAKER_02  As someone who was writing a paper targeting labor, you probably can't say that they're unlikely to do it either.
3644.82 3646.14 SPEAKER_02  Let's just leave it at that.
3647.40 3651.68 SPEAKER_02  So the other thing we talked about though, is making the process of planning more accountable, right?
3651.70 3657.52 SPEAKER_02  We're capturing the value, but also is it democratizing the gains, but also democratizing inputs.
3657.52 3669.10 SPEAKER_02  And this is not about just allowing more veto players in just, but rather allowing, as you say, for example, much, much more consultation.
3669.50 3674.18 SPEAKER_02  So can you talk about what you think a better consultative process would look like?
3674.98 3677.94 SPEAKER_02  Or have I missed, have I misportrayed you?
3677.94 3684.30 SPEAKER_01  I would say more like deliberative or democratic, I guess, in the sense that like, you know, consultations as they use now can be kind of like quite box sticky.
3685.74 3686.86 SPEAKER_01  I don't, I'm not really sure.
3686.98 3697.14 SPEAKER_01  So even though, like often quite an elite thing, I think, particularly on a lot of issues, like it's, you know, it's, it's for like established groups and stuff to sort of debate things, which, you know, is fine, whatever.
3697.34 3724.92 SPEAKER_01  But I guess I would say that like, so, and this is probably important in terms of like the, the sort of opposing view or the proposed reform from the kind of more neoliberal, also think tanks is that we move towards what's more, a more regulatory system rather than what we have at the moment, which is very discretionary, which means that decisions are taken at people's sort of judgment discretion in either elected or sort of public officials, to a more regulatory system like they have in say France or the US where it's more sort of rules up front.
3725.06 3740.96 SPEAKER_01  Now, the reason that we have local plans so important was because this was a compromise made in 1990 to allow some of that more regulatory approach in, whereby the plan is the sort of defining, allows, allows developers or anyone else to look at something and go, okay, well, this is what we can do here.
3741.38 3742.48 SPEAKER_01  These are the things we're allowed to do.
3742.56 3744.46 SPEAKER_01  These are the things that kind of encourages to do, et cetera, et cetera.
3744.46 3745.42 SPEAKER_01  That's kind of the idea.
3747.00 3753.56 SPEAKER_01  So for me, like the kind of democratic aspects enhancing really is in that bit, is in that bit of that's where the work can go in.
3753.72 3763.04 SPEAKER_01  That's where you can have like these kind of antagonistic discussions about, you know, and obviously local officials and elected officials and the public can then decide what it is, you know, they want to do.
3763.08 3764.98 SPEAKER_01  And then obviously the costs and benefits of doing that, right.
3765.00 3766.74 SPEAKER_01  If you don't want to build new housing, okay, fine.
3766.78 3773.70 SPEAKER_01  But then like, you know, what's going to happen to your like schools or to your, you know, your area if like people can't live there, like, or families can't live there, et cetera.
3773.70 3780.14 SPEAKER_01  Like, so I think there's, I think, I think that is where you have a better democratic opportunity.
3780.40 3784.62 SPEAKER_01  And I think that's where, and you know, but again, as I was kind of emphasizing before that requires work, right.
3784.62 3798.76 SPEAKER_01  Because that requires not only like the process of developing those plans and policies, but also requires like, actually you've got to actively go and find people to get them involved because, you know, people aren't just walking into planning meetings, you know, it's only a certain type of person who tends to do that.
3798.86 3802.28 SPEAKER_01  So that requires like, again, significant resources and work to actually do that properly.
3802.28 3806.08 SPEAKER_01  And, you know, in the past, like there have been sort of reasonable attempts to do that.
3806.16 3812.82 SPEAKER_01  They've not always been perfect, but like, it's not like that's some sort of, you know, unfathomable like process.
3812.96 3815.06 SPEAKER_01  Like, I mean, again, other people in other countries do do this.
3815.06 3815.72 SPEAKER_01  So it's not like,
3816.80 3822.90 SPEAKER_02  this comes back down, I think to building public capacity, right.
3822.94 3839.44 SPEAKER_02  Which is in order to go and get people, as you say, you can't just wait for them to come to you because the only people who are constantly paying attention to that and coming to you are either landlords or insane, like, you know, touring land owning NIMBYs who want to stop trains being built.
3839.62 3840.44 SPEAKER_02  If you get my meaning.
3840.78 3840.88 SPEAKER_03  Yeah.
3840.88 3868.60 SPEAKER_02  Um, so how, and this comes back to, as we say, actually making the public sector work again, which is going to require, as you say, actually hiring people, actually, um, giving them a remit to engage with the public and do things in the public interest, which is so far away from where we've come, where we come from, or maybe really ever have been in quite a long time.
3869.32 3879.18 SPEAKER_02  Um, and this is where I think we want to come to come back to what other, what otherwise is suggested to fix the planning system by the mainstream parties, which is to streamline it.
3879.44 3887.64 SPEAKER_02  Really, what you're saying is needed is a significant bulking up, but to make it better rather than to make it disappear.
3888.08 3889.06 SPEAKER_01  Yeah, I think so.
3889.16 3894.70 SPEAKER_01  I mean, like, I mean, like I think what's developed and this, this is, this was actually prior to the, the coalition of conservatives.
3894.88 3904.04 SPEAKER_01  I think this was happening in the labor too, which is the, yeah, I would say it's kind of like, there's a lot of bureaucracy, but a lot of it's, it's very, it, it's kind of box sticking, right?
3904.08 3908.22 SPEAKER_01  A planning process becomes more box sticking, which is in the sense of like, okay, we have to do this thing.
3908.26 3908.98 SPEAKER_01  We have to do this review.
3909.04 3909.88 SPEAKER_01  We have to do this assessment.
3910.00 3910.54 SPEAKER_01  We have to do that.
3910.54 3911.58 SPEAKER_01  And that kind of goes on forever.
3912.02 3920.28 SPEAKER_01  But like, that's actually not, I mean, I've sat and watched and, you know, researched, analyzed several multiple, like different planning decisions.
3920.28 3924.40 SPEAKER_01  And actually like, you know, that's, it's almost like a bit of a charade sometimes.
3924.40 3938.42 SPEAKER_01  Like it's like, they go through the motions, but what decides the issue is actually just to do with, you know, you know, say I'm fracking, for example, like, yeah, there was lots of like technical issues discussed about noise and pollution, all these kinds of things.
3938.42 3944.72 SPEAKER_01  But at the end of the day, like it was the fact that it was, there was clear issues with the process and that people in the area worried about it.
3944.74 3946.38 SPEAKER_01  And that's eventually why they ended up rejecting it.
3946.42 3946.54 SPEAKER_01  Right.
3946.56 3947.08 SPEAKER_01  And that's fine.
3947.14 3948.96 SPEAKER_01  Like, I don't have a problem with that.
3949.02 3949.92 SPEAKER_01  I think that's perfectly reasonable.
3949.92 3954.42 SPEAKER_01  Like, like people have like substantive disagreements about what can be done with land.
3954.80 3968.66 SPEAKER_01  And I think the problem with the, I don't think there's an easy way out of that, but I, what I don't agree with is this kind of very neoliberal perspective that you can just, hide those things away and just pretend they don't exist and just come up with a way of bypassing all of those like antagonisms.
3968.80 3968.92 SPEAKER_01  Right.
3968.96 3970.64 SPEAKER_01  And there's the real like disagreements.
3970.82 3978.88 SPEAKER_01  Like, what you need to do is try and think of a way to have those more constructively and in ways that we can, you know, and some people will win and some people will lose at the end of the day.
3978.94 3980.80 SPEAKER_01  But like, I think we can do that.
3980.86 3985.24 SPEAKER_01  And we can't just pretend those things don't exist because then obviously all that happens is that, you know, it'll be the developers that win.
3985.32 3985.46 SPEAKER_01  Right.
3985.46 3985.76 SPEAKER_01  Like,
3986.08 3998.12 SPEAKER_02  so effectively what we're saying is, um, uh, a, a bulky and powerful planning system that's, um, able to actually, uh, stand in the way of an influence and influence development.
3998.52 3998.88 SPEAKER_02  Great.
3998.98 3999.84 SPEAKER_02  When do we get one?
4000.46 4000.82 SPEAKER_02  Effectively.
4001.06 4018.30 SPEAKER_01  I think it's, well, like, so I say about the importance of actual plan making, I guess, is that, you know, if, if you, I think if you had better and more substantive like plans and you were able to do it in a more sort of inclusive way, then it would be a lot easier to turn around to people and say no, or like to, you know, either people objecting for like sort of trivial reasons, right?
4018.30 4027.68 SPEAKER_01  Like if it's like say the kind of archetypal NIMBY in the home counties, if you've had a sort of, uh, I don't know, a wider discussion in the kind of wider region.
4027.90 4036.72 SPEAKER_01  So you could, you know, we talk about regional planning and that's, that's a huge problem that we don't have that, I think in the UK, but, uh, or in the wider county in the case of say, I don't know, Oxfordshire or something.
4037.32 4048.28 SPEAKER_01  Um, like if you've, if, if that has then led to a set of principles about how much housing needs to be developed and like, that's been sort of developed as a policy and there's areas, you know, you talk about areas that you would like it to happen and you have to discuss that.
4048.30 4052.22 SPEAKER_01  Not on an individual basis, but you have to discuss that on a regional basis or a county basis.
4052.40 4054.00 SPEAKER_01  That becomes a bit of a different issue, doesn't it?
4054.02 4056.40 SPEAKER_01  Because you're not just arguing about whether this one thing can happen.
4056.98 4062.06 SPEAKER_01  And then if someone comes and rejects this to housing, that you've had this like two year planning process to, you know, plan making process.
4062.52 4063.18 SPEAKER_01  Well, that's tough.
4063.24 4064.46 SPEAKER_01  Like, unless they've got a really good reason.
4064.96 4077.64 SPEAKER_01  Like, but I think if you're just doing that to people without that basis, that, that, that's when it becomes a lot more fraught and a lot more, yeah, a lot more like a lot more like, well, I guess they have some basis for saying that they're just being stomped upon, right?
4077.64 4085.58 SPEAKER_01  Rather than, um, there being some sort of much stronger foundation, democratic foundation for you to have to say, well, I'm sorry, but you're just gonna have to put up with this inconvenience for a period of time.
4085.58 4098.82 SPEAKER_02  So I think both before we end here, you know, I want to, um, I want to talk about another thing that is, I think a real, uh, important motivator to deprivatize and re-regulate planning.
4098.96 4100.92 SPEAKER_02  This is from your planning and climate section.
4101.04 4106.26 SPEAKER_02  What you say, the problem of flooding is emblematic of the privatization and deregulation of planning.
4106.46 4121.84 SPEAKER_02  A focus on simply adding additional housing units is resulting in developments completely unsuited to the changing climate and the annual site of people being ferried away from their homes and dinghies should make it a clear that the planning system desperately needs to be reformed towards a public system that has the right skills and resources to act strategically.
4122.62 4124.90 SPEAKER_02  And I mean, I think that's the, that's the vision.
4125.08 4126.78 SPEAKER_02  I think we can leave ourselves on, right?
4126.82 4137.42 SPEAKER_02  Which is we talk all the time on the show about whether or not something is going, some measure, some measure is going to be enough to deal with whatever crises are going to come down the pipe.
4137.74 4157.12 SPEAKER_02  And I think we can just say for any reform of the planning system, will this meaningfully stop people from being put in dinghies when their homes are flooded, or will it allow developers to profit off of homes that will one day be required to be emptied via dinghy?
4157.68 4158.32 SPEAKER_01  Yeah, that's right.
4158.38 4158.80 SPEAKER_01  I think that's it.
4158.84 4162.06 SPEAKER_01  We can set that up as a metric and as a test for all future proposals.
4162.20 4165.34 SPEAKER_01  I think it might actually, yeah, we could go a long way with that at least.
4165.34 4167.12 SPEAKER_01  Um, um,
4167.18 4169.60 SPEAKER_02  it's the, the patented trash future dinghy test.
4169.70 4170.36 SPEAKER_01  Yeah, yeah, yeah.
4170.42 4170.88 SPEAKER_01  No, that's it.
4170.90 4171.40 SPEAKER_01  That's all we need.
4171.44 4171.62 SPEAKER_01  Actually.
4171.66 4171.92 SPEAKER_01  I don't know.
4171.96 4172.96 SPEAKER_01  We've wasted half an hour.
4173.04 4173.20 SPEAKER_01  Really.
4173.26 4174.94 SPEAKER_01  We can just start starting to finish with that.
4175.90 4176.26 SPEAKER_02  Yeah.
4176.28 4178.52 SPEAKER_02  Anything less, not worth the paper it's printed on.
4179.26 4186.24 SPEAKER_02  Uh, so I think that about wraps up this half episode, but Gareth, I just want to thank you so much for coming and talking to us today.
4186.46 4194.52 SPEAKER_02  Um, I've found it very interesting to be able to have much more evidence for my contempt of people hand-waving that they'll streamline the planning system.
4194.52 4195.96 SPEAKER_02  I always knew it was bullshit.
4196.14 4197.04 SPEAKER_02  I'm glad to know why.
4197.82 4198.30 SPEAKER_01  Thank you.
4198.34 4198.94 SPEAKER_01  Well, thank you very much.
4198.98 4199.48 SPEAKER_01  It's been a pleasure.
4199.56 4200.36 SPEAKER_01  And thanks for inviting me on.
4200.70 4201.06 SPEAKER_01  It's been great.
4201.18 4201.32 SPEAKER_02  Yeah.
4201.54 4202.06 SPEAKER_02  All right.
4202.10 4206.32 SPEAKER_02  Well, I'm going to hand back, uh, to past slash future.
4206.38 4212.16 SPEAKER_02  Well, past for you, future for me, um, of the, uh, TF team for the sign off.
4212.20 4212.96 SPEAKER_02  Bye everybody.
4213.36 4215.52 SPEAKER_02  Ah, well, thank you very much to Dr.
4215.68 4217.14 SPEAKER_02  Gareth Fern for talking to me.
4217.32 4218.26 SPEAKER_02  What a conversation.
4218.40 4220.42 SPEAKER_02  I didn't have much to say, but it was great.
4220.68 4220.70 SPEAKER_04  Yeah.
4220.70 4223.58 SPEAKER_04  It was a reliably great time when we talked to an academic named Gareth.
4223.58 4224.14 SPEAKER_04  Gareth.
4224.28 4225.28 SPEAKER_04  That's true.
4225.50 4228.30 SPEAKER_04  Actually, a hundred percent hit rate on academics named Gareth.
4228.46 4230.26 SPEAKER_04  If you are an academic named Gareth.
4230.56 4230.96 SPEAKER_06  Yeah.
4231.04 4232.12 SPEAKER_06  And you want to be on the podcast.
4232.50 4233.70 SPEAKER_06  Maybe it's anyone called Gareth.
4233.76 4235.04 SPEAKER_06  You could get Gareth Gates on.
4235.04 4235.24 SPEAKER_02  Ooh,
4235.48 4236.64 SPEAKER_04  Gareth future.
4237.18 4240.26 SPEAKER_02  Anyway, anyway, um, we have a Patreon.
4240.60 4242.54 SPEAKER_02  It is $5 a month to subscribe.
4242.68 4244.74 SPEAKER_02  However, we're going to keep saying this.
4245.08 4246.36 SPEAKER_02  It will be more expensive.
4246.36 4257.10 SPEAKER_02  If you subscribe from within the iOS app, subscribe, not from within the iOS app, or it will cost more because we'll see how antitrust goes, but Apple is trying to leverage its market power.
4257.10 4258.84 SPEAKER_04  So please do not do that.
4258.84 4260.92 SPEAKER_04  Tim Apple will take some of your money.
4261.04 4270.14 SPEAKER_06  If you subscribe on like within the app, it's like from like March, if you have an existing subscription, but that you subscribe before then it shouldn't increase.
4270.14 4272.48 SPEAKER_06  But if you subscribe, I think it's from March.
4272.56 4276.92 SPEAKER_06  This is Googleable information, but it's going to, they're going to put like a 30% surcharge on it.
4276.98 4281.72 SPEAKER_06  So our recommendation is subscribe directly on the Patreon website or through other apps.
4281.96 4282.86 SPEAKER_06  Anything else you want.
4282.86 4288.30 SPEAKER_02  So yeah, aside from that, I also want to say thank you very much for listening.
4289.80 4294.10 SPEAKER_02  We're looking forward to another year of being in your ears.
4294.42 4302.38 SPEAKER_02  So we will see you on the bonus episode, which was a Balthazar that Milo and I just recorded earlier today with Tom Walker and Demi Lardner.
4302.84 4304.58 SPEAKER_06  This was my fourth podcast of the day.
4304.90 4305.62 SPEAKER_02  Yeah, absolutely.
4305.92 4307.94 SPEAKER_02  So we will see you in a few days.
4308.30 4308.56 SPEAKER_02  Bye, bye.
4308.56 4308.70 SPEAKER_02  Bye.
4309.18 4309.36 SPEAKER_04  Bye.
4312.86 4313.86 None  Bye.
