0.00 29.06 SPEAKER_03  Welcome to Punta Vista.
2366.20 2366.42 SPEAKER_02  Yeah.
2367.02 2367.30 SPEAKER_06  Yeah.
2367.56 2372.32 SPEAKER_02  And then maybe talked about what those feelings were and then sort of maybe tried to find the root cause.
2372.44 2372.64 SPEAKER_02  Yeah.
2372.70 2373.38 SPEAKER_02  Are you hungry?
2373.86 2374.04 SPEAKER_04  Yeah.
2374.04 2374.70 SPEAKER_02  Are you sleepy?
2374.90 2375.76 SPEAKER_02  Was it the swale?
2376.20 2376.50 SPEAKER_04  Yeah.
2378.02 2379.22 SPEAKER_02  Do you need to go poo?
2379.22 2381.28 SPEAKER_02  Do you need to take a big shit?
2381.48 2382.22 SPEAKER_02  Do you need to poo?
2383.14 2388.40 SPEAKER_02  Following that interaction, police then detailed an incident they called the quote hurricane incident.
2390.10 2390.84 SPEAKER_02  Ominous, right?
2391.14 2391.46 SPEAKER_02  All right.
2391.50 2392.14 SPEAKER_02  It's got a title.
2392.76 2397.84 SPEAKER_02  When Hurricane Milton hit on October 9th, the Palm Beach Gardens was experiencing winds of...
2397.84 2400.02 SPEAKER_02  The Palm Beach Gardens?
2400.02 2405.30 SPEAKER_02  Was experiencing winds of 25 to 30 miles per hour and gusts of up to 54 miles per hour.
2405.30 2412.50 SPEAKER_02  According to police, Kaluahine decided to start a fire in his backyard burn pit near the victim's fence.
2413.94 2419.76 SPEAKER_02  Watching the surveillance footage, police said, quote, there was no reasonable explanation for the use of a fire in the middle of a hurricane.
2421.22 2425.44 SPEAKER_02  Video showed him allegedly adding to the fire and leaving it unattended.
2425.44 2432.18 SPEAKER_02  Once Palm Beach Gardens Fire Rescue responded to the scene, they found the fire already out.
2432.44 2441.26 SPEAKER_02  However, that evening, police said Kaluahine restarted the fire using the accelerant and a leaf blower, causing embers to fly over the victim's artificial turf.
2441.74 2443.56 SPEAKER_02  The embers staying lit for several seconds.
2443.56 2453.46 SPEAKER_01  I love how, like, the very following sentences, police said similar incidents followed.
2453.60 2456.42 SPEAKER_01  Like, they're just passive observers in this.
2456.68 2456.90 SPEAKER_02  Yeah.
2456.98 2458.82 SPEAKER_02  Oh, he kept trying to burn the fucking house down.
2459.08 2459.56 SPEAKER_02  Yeah, yeah, yeah.
2459.76 2460.46 SPEAKER_02  Stuff like that.
2460.58 2461.12 SPEAKER_02  Of that ilk.
2461.32 2462.18 SPEAKER_02  Okay, a little more house burning down.
2462.18 2464.28 SPEAKER_06  Yeah, we went around there and told him to knock it off.
2464.74 2466.76 SPEAKER_06  And he said, yeah, no worries, officer.
2467.20 2470.20 SPEAKER_02  He was engaging in arson adjacent behaviours continuously.
2470.20 2470.40 SPEAKER_02  Seriously.
2471.18 2472.72 SPEAKER_06  I like the...
2472.72 2477.90 SPEAKER_06  I'm currently enjoying the theory that there's no explanation for this.
2478.34 2481.50 SPEAKER_06  Like that maybe a demon kind of went in him or something?
2482.08 2482.48 SPEAKER_02  Yeah.
2482.70 2486.84 SPEAKER_02  Maybe he's kind of just like the judge from Blood Meridian.
2487.34 2487.60 SPEAKER_03  Yeah.
2487.90 2488.72 SPEAKER_02  And he kind of...
2488.72 2495.24 SPEAKER_02  He's not Satan, but he is kind of like this incarnation of almost just pure evil wrought upon the world.
2495.40 2495.78 SPEAKER_04  Yes.
2496.08 2497.72 SPEAKER_02  And there's no explaining him.
2497.72 2499.72 SPEAKER_02  There's no reckoning with him, really.
2500.20 2501.40 SPEAKER_02  To speak of.
2501.82 2506.52 SPEAKER_06  Is there any note of him like snatching up the neighbour's baby?
2507.82 2508.30 SPEAKER_06  Yeah.
2508.30 2509.78 SPEAKER_02  Doing an old whack on a rock?
2509.96 2518.74 SPEAKER_02  Finding like a priceless artefact of history and then destroying it after describing it in his sketchbook of arcane objects.
2519.48 2520.62 SPEAKER_02  Such a good book.
2520.98 2521.90 SPEAKER_02  It's a really good book.
2522.12 2522.26 SPEAKER_02  Shame about the guy.
2522.26 2523.38 SPEAKER_04  Someone should make a movie out of that.
2523.38 2530.72 SPEAKER_02  On October 15th, Kalua Hide was reported for burning in his pit again and exposing his naked body to the victim's camera.
2531.26 2531.34 SPEAKER_02  Ah.
2531.64 2535.36 SPEAKER_02  This guy's a bit of a fruit loop, I think, maybe.
2535.46 2536.30 SPEAKER_06  A bit of an exhibitionist.
2536.32 2540.22 SPEAKER_06  He should join some sort of like live theatre or something.
2540.72 2542.16 SPEAKER_06  Maybe a ska band.
2542.28 2543.38 SPEAKER_01  Like a more positive outlet.
2543.38 2544.62 SPEAKER_01  Talents, yeah.
2544.86 2548.16 SPEAKER_01  Did you move in next door to Buffalo Bill by any chance?
2548.58 2549.54 SPEAKER_02  It is kind of weird.
2549.54 2549.82 SPEAKER_01  Yeah, he's crazy.
2550.30 2557.26 SPEAKER_02  There are like, I mean, crazy is a very reductive term and obviously mental illness, very serious, big scale of things.
2557.26 2564.52 SPEAKER_02  But there is a specific type of crazy where they are in touch with reality enough that they operate day to day.
2564.74 2565.52 SPEAKER_02  They have a job.
2565.68 2566.52 SPEAKER_02  They have a house.
2566.96 2574.10 SPEAKER_02  They, you know, they just, they live and they survive and they take part in all of the normal rituals of being in society.
2574.10 2584.04 SPEAKER_02  But if you like flick the right switch, you open up this deep well of complete fucking insanity and they're out there.
2584.58 2584.70 SPEAKER_06  Yeah.
2584.70 2589.64 SPEAKER_06  Next thing you know, they've got your dog in the machine from the cell.
2590.48 2598.46 SPEAKER_02  Police detailed that Kaluhine was, quote, air humping, flicking off the middle finger, looking and shouting directly at the surveillance camera.
2598.84 2600.34 SPEAKER_01  Hey, we've all done a little air humping.
2600.84 2600.98 SPEAKER_01  Okay.
2601.12 2603.12 SPEAKER_02  I don't think he likes being surveilled.
2604.36 2610.00 SPEAKER_02  On October 19th, he repeated this behaviour facing his neighbour's surveillance camera and exposing himself again.
2610.00 2617.24 SPEAKER_01  Can I make one suggestion, which is if you don't like being surveilled, try not doing so much interesting stuff.
2618.14 2618.32 SPEAKER_01  Yeah.
2619.12 2620.10 SPEAKER_01  Eminently watchable.
2620.38 2620.66 SPEAKER_01  Yes.
2620.74 2621.00 SPEAKER_01  Certainly.
2621.34 2621.56 SPEAKER_01  Yeah.
2621.96 2624.52 SPEAKER_01  Hey, he's out there again doing stuff.
2624.84 2625.00 SPEAKER_01  Yeah.
2625.02 2627.10 SPEAKER_01  And the stuff, it's pretty weird.
2627.28 2628.16 SPEAKER_06  It's pretty interesting.
2628.38 2628.56 SPEAKER_05  Yeah.
2628.64 2630.46 SPEAKER_05  High entropy behaviour over there.
2630.46 2634.80 SPEAKER_05  He's doing some real, hey, do you want to come see this type behaviour?
2635.12 2645.56 SPEAKER_01  Hey, I mean, like, honestly, if I were to go to, like, the blinds or curtains of any window of my house and peep out from them, I'm not seeing anything like this.
2645.56 2646.86 SPEAKER_01  Not a lot going on out there, yeah.
2646.86 2648.26 SPEAKER_01  There's some trees.
2648.70 2655.16 SPEAKER_01  Sometimes I see Cordelia, my neighbour, like, watering some of the pots on her deck.
2656.14 2657.20 SPEAKER_01  That's kind of it.
2657.42 2659.92 SPEAKER_01  Like, she's never humping the air.
2660.30 2660.52 SPEAKER_00  No.
2660.72 2663.04 SPEAKER_01  She's never showing me her genitals, flipping me off.
2663.64 2670.22 SPEAKER_01  If she was, you know, first thing I'd say, hey, Eleanor, come and look at this.
2670.98 2671.20 SPEAKER_02  Yeah.
2671.38 2673.08 SPEAKER_01  There's something happening out here.
2673.24 2674.78 SPEAKER_01  Capital S, capital H.
2675.42 2676.36 SPEAKER_01  Quick, come here.
2676.36 2677.48 SPEAKER_01  A something occurring.
2677.58 2677.84 SPEAKER_01  Yeah.
2677.96 2681.32 SPEAKER_01  There's a real occurrence happening outside the window right now.
2682.86 2684.30 SPEAKER_01  Events are taking place.
2684.44 2685.00 SPEAKER_02  Come look.
2688.08 2690.92 SPEAKER_05  Honey, honey, we're living in interesting times.
2691.30 2692.84 SPEAKER_01  Hark, there is happenstance.
2693.82 2694.10 SPEAKER_01  Yep.
2694.64 2695.34 SPEAKER_01  But you know what?
2695.38 2698.22 SPEAKER_01  Up to this point, no reason to set a camera up.
2700.92 2706.34 SPEAKER_02  The victim told police there were at least four incidents while they were home where they heard loud thudding on the roof.
2706.36 2710.56 SPEAKER_02  The victim went outside and found something odd.
2711.20 2714.12 SPEAKER_02  Both fresh and frozen meat had been tossed on the roof.
2714.44 2715.12 SPEAKER_02  God damn.
2715.12 2718.84 SPEAKER_01  This man is sinking money into this too.
2719.46 2719.60 SPEAKER_01  Yeah.
2719.60 2728.10 SPEAKER_01  It's not inexpensive to set up very bright lights, to erect flagpoles.
2729.10 2730.56 SPEAKER_01  You know, cost of living crisis.
2730.88 2732.64 SPEAKER_01  Meat, not that cheap.
2733.04 2734.12 SPEAKER_01  Any note on what cut?
2734.88 2735.40 SPEAKER_01  Didn't say.
2735.48 2737.42 SPEAKER_01  Didn't it also say what animal?
2738.12 2738.42 SPEAKER_00  Yeah.
2738.68 2740.66 SPEAKER_01  Could have been said which was fresh and which was frozen.
2741.00 2744.30 SPEAKER_06  I'll tell you what animal and cut that I could throw on the neighbor's roof.
2744.40 2746.62 SPEAKER_06  And that's a pork chop.
2747.06 2747.26 SPEAKER_06  Yeah.
2747.80 2748.20 SPEAKER_06  Useless.
2749.06 2750.58 SPEAKER_01  Whoa, whoa, whoa.
2750.82 2751.50 SPEAKER_01  Let's not say things.
2751.50 2758.50 SPEAKER_06  And the ones, not the neat ones, but like the ones that you get and it's just this mess of fat and there's like three bones in there.
2758.70 2759.70 SPEAKER_06  It's a four quarter chop.
2759.92 2761.48 SPEAKER_02  You're describing a pork four quarter chop.
2761.50 2764.20 SPEAKER_06  And you can salvage about like 20 grams of meat.
2764.56 2766.50 SPEAKER_02  Wait, are you talking a T-shaped bone or?
2767.26 2767.74 SPEAKER_02  No.
2767.90 2771.92 SPEAKER_02  Is it sort of two separate pieces of bone and the one's kind of weirdly?
2772.20 2773.10 SPEAKER_02  I think so, yeah.
2773.10 2774.50 SPEAKER_02  That's a four quarter chop, yeah.
2774.66 2774.80 SPEAKER_00  Yeah.
2774.96 2778.68 SPEAKER_02  It's one of the cheaper cuts of meat from like any animal you can get a four quarter chop.
2778.80 2782.16 SPEAKER_02  But a lamb four quarter chop, so fucking tasty.
2782.40 2785.66 SPEAKER_06  If you can find, if you can find the meat on it.
2785.88 2786.56 SPEAKER_06  That's what I'm saying.
2787.12 2789.00 SPEAKER_06  And I'm throwing that thing next door.
2791.22 2792.20 SPEAKER_03  It's no bueno.
2792.60 2794.74 SPEAKER_05  The platform to air this gripe.
2796.56 2799.10 SPEAKER_02  I've been keeping this in for two days.
2799.10 2809.44 SPEAKER_02  When officers contacted Kaluahine's landlord, he said there were $67,000 in total fines from the city he had received because of Kaluahine.
2810.16 2811.26 SPEAKER_01  And he still lives there?
2811.86 2812.26 SPEAKER_02  Yeah.
2812.66 2814.92 SPEAKER_02  I guess that's the only good landlord.
2815.20 2817.24 SPEAKER_01  Landlord's like, you want to try making him angry?
2817.70 2817.98 SPEAKER_02  Yeah.
2818.22 2823.86 SPEAKER_02  I'm just going to keep sort of taking his rent money and letting him live here because I don't want to deal with any of this.
2823.86 2824.10 SPEAKER_01  Yeah.
2824.20 2828.16 SPEAKER_01  To be honest, before last year, all of this ire was directed at me.
2828.16 2831.66 SPEAKER_01  So I'm kind of happy with how things are going at the moment.
2831.80 2832.20 SPEAKER_02  The new target.
2832.82 2840.00 SPEAKER_02  Maybe the landlord on the, like he pretended to be the neighbor and wrote, fuck you.
2840.26 2840.50 SPEAKER_02  Yeah.
2840.80 2841.26 SPEAKER_02  Fuck you.
2841.30 2842.70 SPEAKER_01  I love parking in the swale.
2843.02 2845.80 SPEAKER_01  The swale is my car's house now.
2846.02 2846.24 SPEAKER_01  Yeah.
2846.36 2847.74 SPEAKER_01  My car lives in the swale.
2848.84 2851.74 SPEAKER_01  I bought the swale from the city and it's mine.
2852.22 2853.66 SPEAKER_02  Quote, they called law enforcement.
2853.90 2854.88 SPEAKER_02  They called code enforcement.
2855.00 2856.28 SPEAKER_02  They did everything right.
2856.28 2858.08 SPEAKER_02  But nothing was happening, said Suscar.
2858.84 2866.98 SPEAKER_02  According to the arrest affidavit, Kalua Hine attended three code enforcement hearings where officers said his demeanor went from indifferent to belligerent and vulgar.
2868.50 2869.38 SPEAKER_01  Fuck you.
2869.54 2870.66 SPEAKER_01  He's humping the air.
2870.82 2872.82 SPEAKER_06  So it's not just the neighbors.
2873.44 2873.82 SPEAKER_06  It's.
2874.20 2874.72 SPEAKER_06  It's everyone.
2875.08 2875.38 SPEAKER_02  Yeah.
2875.62 2878.60 SPEAKER_01  Maybe he's the one with the demand avoidance issue.
2878.64 2880.04 SPEAKER_01  Maybe he's the Babadook.
2880.04 2890.66 SPEAKER_02  The officer in attendance said Kalua Hine shouted at the special magistrate, police officers, code enforcement officers, city attorneys, and was so disruptive he had to be escorted out all three times.
2893.04 2893.52 SPEAKER_01  Yeah.
2894.00 2896.10 SPEAKER_01  Starting to think he might be the problem.
2896.46 2898.42 SPEAKER_01  I think maybe it's this guy that's the problem.
2898.66 2898.96 SPEAKER_01  This guy.
2898.96 2904.06 SPEAKER_02  When we earlier, all three of us theorized that maybe the victim was the problem.
2904.22 2904.32 SPEAKER_02  Yep.
2904.32 2906.02 SPEAKER_02  I think it might actually be the crazy guy.
2907.22 2908.70 SPEAKER_02  I'm coming up with a new stance.
2909.24 2910.16 SPEAKER_02  Believe victims.
2910.70 2911.00 SPEAKER_02  Yeah.
2912.46 2917.56 SPEAKER_02  Since their initial argument with Kalua Hine, police said the victims lived in constant fear for their safety.
2917.56 2917.96 SPEAKER_02  Fair.
2917.96 2923.06 SPEAKER_02  Ignoring the harassment initially did not work and reporting to the authorities has yet to stop Kalua Hine's behavior.
2923.86 2930.56 SPEAKER_02  Police said the victims have had to alter their daily routines and even leave their home for extended periods to avoid contact with Kalua Hine and his actions.
2930.98 2931.22 SPEAKER_01  Fair.
2931.88 2940.24 SPEAKER_02  Although Kalua Hine claims he will be moving out of the residence, there is no guarantee this will happen soon, nor does it ensure he will cease his harassment, the arrest officer said.
2940.24 2946.24 SPEAKER_02  Given this history and the investigation's findings, there is probable cause to arrest Kalua Hine for two accounts of aggravated stalking.
2947.42 2955.28 SPEAKER_02  Additionally, there is probable cause to charge Kalua Hine with criminal mischief after using a pole to strike and remove a ring security camera, causing $170 in damage.
2955.82 2956.46 SPEAKER_01  I'm going to be honest.
2956.82 2960.20 SPEAKER_01  I feel like the grounds existed already.
2960.60 2961.68 SPEAKER_02  They're looking into it.
2961.96 2962.76 SPEAKER_02  They're checking it.
2962.92 2968.82 SPEAKER_02  Hey, if this keeps up, one of these people might end up dying and you'd find them in a coffin.
2968.82 2972.46 SPEAKER_02  We look at coffin-related news in Coffin Watch.
2986.98 2989.94 SPEAKER_02  This comes to us from KLFY in Louisiana.
2990.56 2991.08 SPEAKER_02  The Cleef.
2992.02 2992.30 SPEAKER_02  Yep.
2993.22 2997.76 SPEAKER_02  Two more people wanted an alleged St. Landry Parish grave desecration.
2997.76 2998.32 SPEAKER_02  Oh.
2998.82 2999.80 SPEAKER_02  Hmm.
2999.96 3000.24 SPEAKER_01  Hmm.
3000.96 3002.74 SPEAKER_01  What did the person in the grave do?
3002.74 3004.18 SPEAKER_01  Yeah, what's their vibe?
3005.10 3006.06 SPEAKER_03  What the way?
3006.26 3008.58 SPEAKER_02  Did you get a vibe check on the dead person?
3009.10 3016.62 SPEAKER_02  Two more women are accused of grave desecration in connection with an incident at an Opelousas cemetery on December 10th, authorities.
3016.62 3017.14 SPEAKER_02  Cough girls.
3018.06 3019.58 SPEAKER_02  Well, I don't know.
3019.62 3020.12 SPEAKER_02  You tell me.
3020.42 3020.70 SPEAKER_02  All right.
3021.36 3022.64 SPEAKER_02  Crystal Belle Edmund.
3022.80 3025.08 SPEAKER_02  Crystal, good start for like a- Good, great start.
3025.18 3025.30 SPEAKER_02  Yeah.
3025.30 3025.52 SPEAKER_02  Yeah.
3026.18 3026.62 SPEAKER_02  43.
3026.62 3026.82 SPEAKER_02  Yeah.
3026.82 3027.06 SPEAKER_02  Yeah.
3027.06 3030.78 SPEAKER_02  And the Lexus Sally, 42, both of Opelousas.
3031.28 3031.52 SPEAKER_02  Okay.
3031.52 3036.82 SPEAKER_01  So they can't use the we're just young and we didn't know any better kind of vibes at this point.
3036.92 3036.94 SPEAKER_01  Yeah.
3036.94 3038.04 SPEAKER_02  Probably young at heart though.
3038.80 3039.82 SPEAKER_02  I'd say so, yeah.
3040.10 3040.44 SPEAKER_02  Probably.
3040.44 3047.18 SPEAKER_02  They are wanted on charges of misdemeanor grave desecration according to the St. Landry Parish Sheriff's Office.
3048.18 3057.38 SPEAKER_02  Previously, Queen of Clay, 34, of Church Point was booked on the same charge after an incident at the Serenity Memorial Park in Opelousas.
3058.76 3063.30 SPEAKER_02  According to officials, three women at the Serenity Memorial Park were observed drinking by workers.
3063.66 3063.88 SPEAKER_03  Mm-hmm.
3064.80 3065.06 SPEAKER_02  Okay.
3065.38 3066.26 SPEAKER_02  Goth girl theory.
3066.26 3066.56 SPEAKER_02  Goth girl.
3066.58 3067.16 SPEAKER_02  Pretty strong.
3067.50 3067.72 SPEAKER_02  Yeah.
3067.72 3071.02 SPEAKER_02  Having like a glass of Tempranillo at the cemetery with your girls.
3071.04 3072.38 SPEAKER_06  That's very classic behaviour.
3072.96 3073.28 SPEAKER_02  Yeah.
3073.98 3078.88 SPEAKER_02  A funeral service at the grave site was recently concluded and all in attendance had left.
3079.44 3087.86 SPEAKER_02  Workers with the monument company said they were approached by the women asking if they could open the casket, which had not yet been lowered, to view the body.
3088.08 3089.50 SPEAKER_02  The workers denied the request.
3089.90 3092.02 SPEAKER_02  Hey, just before you pop that down there.
3092.36 3092.56 SPEAKER_02  Yeah.
3092.76 3093.24 SPEAKER_02  Real quick.
3093.24 3096.76 SPEAKER_02  Hey, just before you wrap this up.
3097.28 3103.58 SPEAKER_02  Look, this is going to sound so crazy, but me and my girls, we've had a couple of wines and we were just...
3103.58 3104.92 SPEAKER_02  No, you ask.
3105.12 3105.24 SPEAKER_02  No.
3105.46 3106.40 SPEAKER_01  We're kind of big coffin heads.
3106.40 3107.40 SPEAKER_01  Can we look at the corpse?
3107.80 3108.24 SPEAKER_01  We're kind of...
3108.24 3109.04 SPEAKER_01  We've got to see it.
3109.34 3110.20 SPEAKER_02  We've got to see it.
3110.98 3112.54 SPEAKER_01  We're real body heads.
3113.02 3114.62 SPEAKER_01  Hey, what's in there?
3114.88 3115.08 SPEAKER_01  Yeah.
3115.40 3117.34 SPEAKER_01  You know, I've always wondered what's in these things.
3117.72 3118.02 SPEAKER_01  Yes.
3118.20 3119.44 SPEAKER_04  Can we just have a little peep?
3119.44 3121.34 SPEAKER_04  My girlfriend kind of wants to see the dead body.
3121.60 3124.74 SPEAKER_02  I've had a couple of glasses of wine and I'd like to see the face of death.
3125.20 3136.52 SPEAKER_02  I'd kind of want to stare at this dead person to sort of really cement in my mind the inevitability of my own death and the reality of that fact.
3136.60 3137.62 SPEAKER_02  Can we do that real quick?
3138.18 3139.42 SPEAKER_01  Hey, I missed the funeral.
3139.86 3142.80 SPEAKER_01  I just want to check real quick if that's anyone I know in there.
3143.10 3143.62 SPEAKER_01  Get caught up.
3143.62 3146.26 SPEAKER_02  Open casket funerals, they kind of...
3146.26 3147.08 SPEAKER_02  They do...
3147.08 3149.26 SPEAKER_02  They're grim, but they do serve a purpose, right?
3149.32 3154.64 SPEAKER_02  Part of the ritual is like really hammering home the finality of it.
3154.86 3159.18 SPEAKER_02  Seeing the inanimate body and going, okay, I understand.
3159.36 3159.90 SPEAKER_02  I know.
3160.00 3161.98 SPEAKER_02  I truly know that this person passed away.
3162.06 3162.58 SPEAKER_02  That's it now.
3162.82 3169.42 SPEAKER_01  Part of the funeral process is giving people a chance to have closure and to let go.
3169.42 3173.58 SPEAKER_01  And it's going to be really important for me to meet this person before I can let them go.
3173.82 3174.06 SPEAKER_01  Yes.
3174.20 3175.54 SPEAKER_01  I'd just like to get eyes on them.
3175.74 3176.20 SPEAKER_01  Say hi.
3176.70 3177.34 SPEAKER_01  Firm handshake.
3177.82 3178.18 SPEAKER_01  Say goodbye.
3178.52 3179.44 SPEAKER_01  And then say goodbye.
3179.82 3180.68 SPEAKER_01  Because that's what this is about.
3180.68 3181.62 SPEAKER_03  And the guy in the dig is like, yeah.
3182.26 3182.48 SPEAKER_01  Yeah.
3183.10 3183.46 SPEAKER_01  Yeah.
3184.32 3185.30 SPEAKER_01  Look, I'll be honest.
3185.32 3185.74 SPEAKER_01  Can't do that.
3186.00 3188.26 SPEAKER_01  Saying goodbye is going to feel...
3189.08 3193.12 SPEAKER_01  It's going to like ring a little hollow if I don't know who's in the coffin.
3193.72 3193.94 SPEAKER_02  Yeah.
3194.18 3194.46 SPEAKER_02  You know?
3194.94 3195.24 SPEAKER_02  Yes.
3195.24 3208.20 SPEAKER_02  When the workers checked on the women, because probably a good instinct there that if like three like drunk ladies are like, can we look at that body?
3208.66 3209.84 SPEAKER_02  And you're like, no.
3210.00 3211.70 SPEAKER_02  And then you let them get out of sight.
3212.62 3213.90 SPEAKER_02  They're like around the corner.
3214.14 3214.82 SPEAKER_01  What are those drunk goths are doing?
3215.02 3216.72 SPEAKER_02  They're probably planning to look at the body.
3216.72 3222.04 SPEAKER_02  You remember 20 minutes ago when those drunk women expressed an interest in seeing a dead body?
3222.24 3224.88 SPEAKER_01  Can anyone see them leave the graveyard?
3225.48 3227.80 SPEAKER_01  I kind of want to know that they've left the graveyard.
3228.08 3228.64 SPEAKER_02  Oh, no.
3228.82 3230.44 SPEAKER_02  I left that dead body unattended.
3232.82 3233.72 SPEAKER_01  Graveyard digger goes...
3234.94 3238.08 SPEAKER_01  Adjust his eye patch.
3238.56 3238.76 SPEAKER_01  You know?
3238.76 3239.40 SPEAKER_01  Yeah.
3239.92 3246.04 SPEAKER_02  When the workers checked on the women, they saw the casket opened and the women taking photos of the body, authorities said.
3246.94 3247.42 SPEAKER_04  Yeah.
3249.00 3250.72 SPEAKER_04  Hey, we told you.
3251.10 3251.90 SPEAKER_01  What are you doing?
3252.18 3252.84 SPEAKER_04  None of that.
3253.54 3256.00 SPEAKER_01  I went to a funeral last year.
3257.44 3258.94 SPEAKER_01  Not an unexpected one or anything.
3259.32 3259.76 SPEAKER_01  It was fine.
3261.18 3264.42 SPEAKER_01  Sorry, it was for an extremely old person, if that helps at all.
3264.46 3265.94 SPEAKER_01  If that contextualizes things.
3266.10 3266.64 SPEAKER_01  Yeah, it does.
3266.64 3272.06 SPEAKER_01  And just a bit of feedback for the cemeteries.
3272.26 3277.66 SPEAKER_01  I don't know how you would sort this out logistically.
3279.04 3288.80 SPEAKER_01  But when you're sort of coming through the cemetery and it's like a respectful vibe in there.
3289.46 3290.26 SPEAKER_01  Everybody's calm.
3290.86 3291.90 SPEAKER_01  Everybody's chill.
3291.90 3297.08 SPEAKER_01  And then you see like the earth mover next to a big pile of dirt.
3297.52 3307.06 SPEAKER_01  I feel like seeing the bobcat really drives home that someone's going to drive the bobcat and push a big load of dirt into the hole.
3307.52 3307.68 SPEAKER_02  Yeah.
3308.08 3309.60 SPEAKER_01  I'm not like a...
3309.60 3311.08 SPEAKER_01  Like throw a tarp over it, maybe.
3311.46 3311.68 SPEAKER_01  I don't know.
3311.68 3311.96 SPEAKER_02  Yeah.
3311.96 3314.62 SPEAKER_02  I definitely think we should be using machinery to do that stuff.
3314.70 3315.74 SPEAKER_02  It's very hard on the body.
3315.86 3339.30 SPEAKER_02  But there is an unbelievable like solemnity and dignity to the shovel breaking the ground to create the hole that we kind of, once we mechanized that process, kind of took that away, like knowing that the guy who got his bobcat ticket so that he could like landscape someone's backyard is also the same guy.
3340.40 3341.78 SPEAKER_02  Probably not doing it with a bobcat.
3341.90 3342.70 SPEAKER_02  I guess that'd be silly.
3342.82 3343.48 SPEAKER_02  But you know what I mean.
3343.48 3344.40 SPEAKER_02  Like it's...
3344.40 3350.72 SPEAKER_02  I think of a grave digger as being, first and foremost, a very cool monster truck.
3350.72 3353.32 SPEAKER_02  And second of being a very dignified profession.
3353.32 3361.94 SPEAKER_02  Whereas a guy that's just using a digger to scoop it out, I don't want my body going in a hole made by a piece of industrial equipment.
3362.18 3363.26 SPEAKER_06  It's so noisy too.
3364.32 3366.98 SPEAKER_06  The same equipment they use to dig pools?
3367.40 3367.70 SPEAKER_02  Yes.
3367.82 3368.12 SPEAKER_02  Yeah.
3368.50 3373.74 SPEAKER_02  Probably the same machine, pool one week, hole for my body the next.
3374.02 3374.08 SPEAKER_01  Yeah.
3374.08 3374.28 SPEAKER_01  Oh my God.
3374.34 3376.36 SPEAKER_01  You know what happened while I was at this funeral, right?
3376.36 3382.42 SPEAKER_01  We had just been at a church and done like a full grade Catholic funeral.
3383.32 3390.22 SPEAKER_01  And so from there, you know, we've followed the hearse to the graveyard, to the cemetery.
3391.30 3402.12 SPEAKER_01  And so we have then arrived at the graveside, you know, where we're having the final words before the lowering of the coffin and everything.
3403.30 3409.80 SPEAKER_01  We are, I don't know, let's say 50 meters away from a building.
3409.80 3422.80 SPEAKER_01  I didn't know what the building was or anything, but it became clear to me when during this last bit of the funeral, I heard like a noise start up from the building.
3423.14 3423.36 None  Yeah.
3423.36 3423.64 SPEAKER_06  Yeah.
3423.68 3424.44 SPEAKER_01  It was clown school.
3424.56 3434.26 SPEAKER_01  And then the chimney on top of the building went and expelled a giant cloud of black thick cool.
3434.72 3435.62 SPEAKER_01  Ashy smoke.
3436.24 3438.36 SPEAKER_02  Oh, they were probably just heating up their lunch or something.
3438.36 3439.44 SPEAKER_01  Don't worry about it.
3439.78 3440.22 SPEAKER_01  And like.
3440.46 3444.60 SPEAKER_06  One of the clowns sprained their ankle there to be destroyed.
3444.98 3447.30 SPEAKER_01  And it was like kind of windy.
3447.30 3462.52 SPEAKER_01  Uh, and I was very relieved that the wind was blowing in the other direction because it very much like did that kind of, it spiraled sort of up and then down and like hit ground level and moved away.
3462.64 3467.54 SPEAKER_01  And I could not help but have the thought of a number one, that was loud.
3467.78 3468.22 SPEAKER_01  Yeah.
3468.30 3468.94 SPEAKER_01  That was loud.
3469.04 3471.18 SPEAKER_01  That was a real whomp kind of noise.
3471.18 3475.54 SPEAKER_01  Uh, and number two, I was pretty glad to not kind of be covered in.
3475.88 3476.16 SPEAKER_01  Yeah.
3476.40 3477.94 SPEAKER_01  Uh, we call that black rain.
3478.32 3478.94 SPEAKER_01  People ashes.
3479.22 3479.74 SPEAKER_01  In the industry.
3479.98 3482.08 SPEAKER_02  And that black rain, somebody's uncle.
3482.48 3482.74 None  Yep.
3482.84 3491.32 SPEAKER_01  I was, I was kind of glad not to be covered in uncle particles while I was standing there at a graveside, you know, but nobody else seemed to notice.
3491.52 3496.36 SPEAKER_01  So I was just standing there with my eyebrows very high up for a few minutes while this happened.
3496.72 3498.56 SPEAKER_02  You guys, do you think that's uncle?
3498.68 3499.96 SPEAKER_01  Making eyes, making eyes at my wife.
3499.96 3501.30 SPEAKER_02  Oh my God.
3501.58 3502.40 SPEAKER_02  I think that's uncle.
3502.84 3503.88 SPEAKER_02  Holy fuck.
3504.26 3504.46 SPEAKER_02  Ella.
3505.04 3505.26 None  Ella.
3505.86 3506.44 SPEAKER_02  That's uncle.
3507.22 3507.96 SPEAKER_02  That's somebody's uncle.
3508.48 3510.18 SPEAKER_02  That's, I think that's somebody's uncle.
3510.18 3510.78 SPEAKER_02  Somebody's uncle.
3513.36 3517.28 SPEAKER_02  The incident was reported to the family who in turn filed a complaint with the St.
